"","tokenlabel","cluster"
"政党/Na/CNA_CMN_20001016_wpr/131093","政党/Na/CNA_CMN_20001016_wpr/131093",1
"政党/Na/CNA_CMN_20001207_wpr/49321","政党/Na/CNA_CMN_20001207_wpr/49321",1
"政党/Na/CNA_CMN_20001213_wpr/65171","政党/Na/CNA_CMN_20001213_wpr/65171",1
"政党/Na/CNA_CMN_20001120_wpr/87644","政党/Na/CNA_CMN_20001120_wpr/87644",1
"政党/Na/CNA_CMN_20001004_wpr/157513","政党/Na/CNA_CMN_20001004_wpr/157513",1
"政党/Na/CNA_CMN_20001015_wpr/9997","政党/Na/CNA_CMN_20001015_wpr/9997",1
"政党/Na/ZBN_CMN_20030806_wpr/46941","政党/Na/ZBN_CMN_20030806_wpr/46941",1
"政党/Na/CNA_CMN_20001108_wpr/122448","政党/Na/CNA_CMN_20001108_wpr/122448",1
"政党/Na/CNA_CMN_20001010_wpr/104149","政党/Na/CNA_CMN_20001010_wpr/104149",1
"政党/Na/CNA_CMN_20001222_wpr/124838","政党/Na/CNA_CMN_20001222_wpr/124838",1
"政党/Na/CNA_CMN_20001219_wpr/139975","政党/Na/CNA_CMN_20001219_wpr/139975",1
"政党/Na/CNA_CMN_20001218_wpr/120062","政党/Na/CNA_CMN_20001218_wpr/120062",1
"政党/Na/CNA_CMN_20001005_wpr/33644","政党/Na/CNA_CMN_20001005_wpr/33644",1
"政党/Na/CNA_CMN_20010117_wpr/103018","政党/Na/CNA_CMN_20010117_wpr/103018",1
"政党/Na/ZBN_CMN_20030907_wpr/34627","政党/Na/ZBN_CMN_20030907_wpr/34627",1
"政党/Na/CNA_CMN_20001109_wpr/74524","政党/Na/CNA_CMN_20001109_wpr/74524",1
"政党/Na/CNA_CMN_20001017_wpr/27877","政党/Na/CNA_CMN_20001017_wpr/27877",1
"政党/Na/CNA_CMN_20010101_wpr/10751","政党/Na/CNA_CMN_20010101_wpr/10751",1
"政党/Na/CNA_CMN_20010104_wpr/133877","政党/Na/CNA_CMN_20010104_wpr/133877",1
"政党/Na/CNA_CMN_20001221_wpr/90396","政党/Na/CNA_CMN_20001221_wpr/90396",1
"政党/Na/ZBN_CMN_20030719_wpr/41144","政党/Na/ZBN_CMN_20030719_wpr/41144",1
"政党/Na/CNA_CMN_20001220_wpr/44316","政党/Na/CNA_CMN_20001220_wpr/44316",1
"政党/Na/CNA_CMN_20001011_wpr/9011","政党/Na/CNA_CMN_20001011_wpr/9011",1
"政党/Na/CNA_CMN_20010118_wpr/38304","政党/Na/CNA_CMN_20010118_wpr/38304",1
"政党/Na/CNA_CMN_20001105_wpr/69203","政党/Na/CNA_CMN_20001105_wpr/69203",1
"政党/Na/CNA_CMN_20001103_wpr/44930","政党/Na/CNA_CMN_20001103_wpr/44930",1
"政党/Na/ZBN_CMN_20030615_wpr/61485","政党/Na/ZBN_CMN_20030615_wpr/61485",1
"政党/Na/CNA_CMN_20001111_wpr/107100","政党/Na/CNA_CMN_20001111_wpr/107100",1
"政党/Na/CNA_CMN_20001016_wpr/83658","政党/Na/CNA_CMN_20001016_wpr/83658",1
"政党/Na/CNA_CMN_20001003_wpr/69027","政党/Na/CNA_CMN_20001003_wpr/69027",1
"政党/Na/CNA_CMN_20001128_wpr/14341","政党/Na/CNA_CMN_20001128_wpr/14341",1
"政党/Na/CNA_CMN_20030811_wpr/514","政党/Na/CNA_CMN_20030811_wpr/514",1
"政党/Na/CNA_CMN_20010124_wpr/30475","政党/Na/CNA_CMN_20010124_wpr/30475",1
"政党/Na/CNA_CMN_20010115_wpr/148805","政党/Na/CNA_CMN_20010115_wpr/148805",1
"政党/Na/CNA_CMN_20030823_wpr/10531","政党/Na/CNA_CMN_20030823_wpr/10531",1
"政党/Na/CNA_CMN_20030731_wpr/1335","政党/Na/CNA_CMN_20030731_wpr/1335",1
"政党/Na/CNA_CMN_20001129_wpr/103014","政党/Na/CNA_CMN_20001129_wpr/103014",1
"政党/Na/CNA_CMN_20001106_wpr/22146","政党/Na/CNA_CMN_20001106_wpr/22146",1
"政党/Na/CNA_CMN_20001010_wpr/29231","政党/Na/CNA_CMN_20001010_wpr/29231",1
"政党/Na/CNA_CMN_20001206_wpr/170168","政党/Na/CNA_CMN_20001206_wpr/170168",1
"政党/Na/CNA_CMN_20030429_wpr/4096","政党/Na/CNA_CMN_20030429_wpr/4096",1
"政党/Na/CNA_CMN_20001214_wpr/89609","政党/Na/CNA_CMN_20001214_wpr/89609",1
"政党/Na/CNA_CMN_20010116_wpr/122230","政党/Na/CNA_CMN_20010116_wpr/122230",2
"政党/Na/CNA_CMN_20001106_wpr/17587","政党/Na/CNA_CMN_20001106_wpr/17587",2
"政党/Na/CNA_CMN_20001004_wpr/23753","政党/Na/CNA_CMN_20001004_wpr/23753",2
"党派/Na/CNA_CMN_20001003_wpr/101374","党派/Na/CNA_CMN_20001003_wpr/101374",2
"政党/Na/CNA_CMN_20001204_wpr/138795","政党/Na/CNA_CMN_20001204_wpr/138795",2
"政党/Na/CNA_CMN_20001207_wpr/125647","政党/Na/CNA_CMN_20001207_wpr/125647",2
"政党/Na/CNA_CMN_20001207_wpr/22736","政党/Na/CNA_CMN_20001207_wpr/22736",2
"政党/Na/ZBN_CMN_20010120_wpr/28309","政党/Na/ZBN_CMN_20010120_wpr/28309",2
"政党/Na/CNA_CMN_20010130_wpr/144787","政党/Na/CNA_CMN_20010130_wpr/144787",2
"政党/Na/CNA_CMN_20001114_wpr/52308","政党/Na/CNA_CMN_20001114_wpr/52308",2
"政党/Na/CNA_CMN_20001210_wpr/33992","政党/Na/CNA_CMN_20001210_wpr/33992",2
"政党/Na/CNA_CMN_20030502_wpr/254","政党/Na/CNA_CMN_20030502_wpr/254",2
"政党/Na/CNA_CMN_20001009_wpr/62597","政党/Na/CNA_CMN_20001009_wpr/62597",2
"政党/Na/CNA_CMN_20030521_wpr/1438","政党/Na/CNA_CMN_20030521_wpr/1438",2
"政党/Na/CNA_CMN_20010103_wpr/75878","政党/Na/CNA_CMN_20010103_wpr/75878",2
"政党/Na/CNA_CMN_20001004_wpr/114690","政党/Na/CNA_CMN_20001004_wpr/114690",2
"政党/Na/CNA_CMN_20001209_wpr/47193","政党/Na/CNA_CMN_20001209_wpr/47193",2
"党派/Na/CNA_CMN_20010129_wpr/116055","党派/Na/CNA_CMN_20010129_wpr/116055",2
"政党/Na/CNA_CMN_20010103_wpr/51205","政党/Na/CNA_CMN_20010103_wpr/51205",2
"政党/Na/CNA_CMN_20001010_wpr/77294","政党/Na/CNA_CMN_20001010_wpr/77294",2
"政党/Na/CNA_CMN_20001213_wpr/119085","政党/Na/CNA_CMN_20001213_wpr/119085",2
"政党/Na/CNA_CMN_20001009_wpr/18020","政党/Na/CNA_CMN_20001009_wpr/18020",2
"政党/Na/CNA_CMN_20001204_wpr/127490","政党/Na/CNA_CMN_20001204_wpr/127490",2
"政党/Na/CNA_CMN_20001208_wpr/20004","政党/Na/CNA_CMN_20001208_wpr/20004",2
"政党/Na/CNA_CMN_20001205_wpr/112050","政党/Na/CNA_CMN_20001205_wpr/112050",2
"政党/Na/CNA_CMN_20001118_wpr/38538","政党/Na/CNA_CMN_20001118_wpr/38538",2
"政党/Na/CNA_CMN_20001130_wpr/100009","政党/Na/CNA_CMN_20001130_wpr/100009",2
"政党/Na/CNA_CMN_20001226_wpr/36261","政党/Na/CNA_CMN_20001226_wpr/36261",2
"政党/Na/CNA_CMN_20001014_wpr/36558","政党/Na/CNA_CMN_20001014_wpr/36558",2
"政党/Na/CNA_CMN_20001231_wpr/66764","政党/Na/CNA_CMN_20001231_wpr/66764",2
"政党/Na/CNA_CMN_20001016_wpr/58312","政党/Na/CNA_CMN_20001016_wpr/58312",2
"政党/Na/CNA_CMN_20001209_wpr/81993","政党/Na/CNA_CMN_20001209_wpr/81993",2
"政党/Na/CNA_CMN_20001017_wpr/137809","政党/Na/CNA_CMN_20001017_wpr/137809",2
"政党/Na/CNA_CMN_20001014_wpr/41604","政党/Na/CNA_CMN_20001014_wpr/41604",2
"政党/Na/CNA_CMN_20010107_wpr/65446","政党/Na/CNA_CMN_20010107_wpr/65446",3
"政党/Na/ZBN_CMN_20010104_wpr/15457","政党/Na/ZBN_CMN_20010104_wpr/15457",3
"政党/Na/CNA_CMN_20001111_wpr/46945","政党/Na/CNA_CMN_20001111_wpr/46945",3
"政党/Na/CNA_CMN_20001124_wpr/54367","政党/Na/CNA_CMN_20001124_wpr/54367",3
"政党/Na/CNA_CMN_20001111_wpr/2298","政党/Na/CNA_CMN_20001111_wpr/2298",3
"政党/Na/ZBN_CMN_20001207_wpr/17252","政党/Na/ZBN_CMN_20001207_wpr/17252",3
"政党/Na/CNA_CMN_20010105_wpr/161438","政党/Na/CNA_CMN_20010105_wpr/161438",3
"政党/Na/CNA_CMN_20001017_wpr/137514","政党/Na/CNA_CMN_20001017_wpr/137514",3
"政党/Na/CNA_CMN_20010107_wpr/65290","政党/Na/CNA_CMN_20010107_wpr/65290",3
"政党/Na/CNA_CMN_20001115_wpr/152031","政党/Na/CNA_CMN_20001115_wpr/152031",3
"政党/Na/CNA_CMN_20001018_wpr/82981","政党/Na/CNA_CMN_20001018_wpr/82981",3
"政党/Na/ZBN_CMN_20001107_wpr/13916","政党/Na/ZBN_CMN_20001107_wpr/13916",3
"政党/Na/ZBN_CMN_20001130_wpr/454","政党/Na/ZBN_CMN_20001130_wpr/454",3
"政党/Na/CNA_CMN_20010103_wpr/139630","政党/Na/CNA_CMN_20010103_wpr/139630",3
"政党/Na/CNA_CMN_20010102_wpr/45264","政党/Na/CNA_CMN_20010102_wpr/45264",3
"政党/Na/XIN_CMN_20030519_wpr/12227","政党/Na/XIN_CMN_20030519_wpr/12227",3
"政党/Na/XIN_CMN_20030618_wpr/40127","政党/Na/XIN_CMN_20030618_wpr/40127",3
"政党/Na/CNA_CMN_20001128_wpr/115294","政党/Na/CNA_CMN_20001128_wpr/115294",3
"政党/Na/CNA_CMN_20001128_wpr/115271","政党/Na/CNA_CMN_20001128_wpr/115271",3
"政党/Na/XIN_CMN_20001101_wpr/70682","政党/Na/XIN_CMN_20001101_wpr/70682",3
"政党/Na/CNA_CMN_20001128_wpr/28149","政党/Na/CNA_CMN_20001128_wpr/28149",3
"政党/Na/CNA_CMN_20001105_wpr/53622","政党/Na/CNA_CMN_20001105_wpr/53622",3
"政党/Na/XIN_CMN_20001010_wpr/37077","政党/Na/XIN_CMN_20001010_wpr/37077",3
"政党/Na/CNA_CMN_20001226_wpr/135606","政党/Na/CNA_CMN_20001226_wpr/135606",3
"政党/Na/CNA_CMN_20001127_wpr/140446","政党/Na/CNA_CMN_20001127_wpr/140446",3
"党派/Na/ZBN_CMN_20001118_wpr/1953","党派/Na/ZBN_CMN_20001118_wpr/1953",3
"政党/Na/CNA_CMN_20030802_wpr/8404","政党/Na/CNA_CMN_20030802_wpr/8404",3
"政党/Na/ZBN_CMN_20001110_wpr/8839","政党/Na/ZBN_CMN_20001110_wpr/8839",3
"政党/Na/ZBN_CMN_20030708_wpr/37925","政党/Na/ZBN_CMN_20030708_wpr/37925",3
"政党/Na/CNA_CMN_20010129_wpr/94859","政党/Na/CNA_CMN_20010129_wpr/94859",3
"政党/Na/CNA_CMN_20010110_wpr/39509","政党/Na/CNA_CMN_20010110_wpr/39509",3
"政党/Na/CNA_CMN_20010129_wpr/94789","政党/Na/CNA_CMN_20010129_wpr/94789",3
"政党/Na/CNA_CMN_20001020_wpr/136801","政党/Na/CNA_CMN_20001020_wpr/136801",3
"政党/Na/CNA_CMN_20001030_wpr/140729","政党/Na/CNA_CMN_20001030_wpr/140729",3
"政党/Na/CNA_CMN_20001027_wpr/159506","政党/Na/CNA_CMN_20001027_wpr/159506",3
"政党/Na/CNA_CMN_20001030_wpr/137353","政党/Na/CNA_CMN_20001030_wpr/137353",3
"政党/Na/CNA_CMN_20001114_wpr/137135","政党/Na/CNA_CMN_20001114_wpr/137135",3
"政党/Na/CNA_CMN_20001115_wpr/152489","政党/Na/CNA_CMN_20001115_wpr/152489",3
"政党/Na/ZBN_CMN_20001024_wpr/5972","政党/Na/ZBN_CMN_20001024_wpr/5972",3
"政党/Na/CNA_CMN_20001018_wpr/130277","政党/Na/CNA_CMN_20001018_wpr/130277",3
"政党/Na/CNA_CMN_20001030_wpr/137849","政党/Na/CNA_CMN_20001030_wpr/137849",3
"政党/Na/CNA_CMN_20001029_wpr/28214","政党/Na/CNA_CMN_20001029_wpr/28214",3
