"","tokenlabel","cluster"
"将来/Nd/XIN_CMN_20030407_wpr/47530","将来/Nd/XIN_CMN_20030407_wpr/47530",1
"将来/Nd/XIN_CMN_20001204_wpr/26568","将来/Nd/XIN_CMN_20001204_wpr/26568",1
"将来/Nd/ZBN_CMN_20030818_wpr/28360","将来/Nd/ZBN_CMN_20030818_wpr/28360",1
"将来/Nd/XIN_CMN_20030523_wpr/23570","将来/Nd/XIN_CMN_20030523_wpr/23570",1
"今后/Nd/XIN_CMN_20010129_wpr/11362","今后/Nd/XIN_CMN_20010129_wpr/11362",1
"今后/Nd/XIN_CMN_20030820_wpr/36260","今后/Nd/XIN_CMN_20030820_wpr/36260",1
"最近/Nd/XIN_CMN_20030718_wpr/35999","最近/Nd/XIN_CMN_20030718_wpr/35999",1
"最近/Nd/XIN_CMN_20030826_wpr/22155","最近/Nd/XIN_CMN_20030826_wpr/22155",1
"最近/Nd/ZBN_CMN_20030731_wpr/16111","最近/Nd/ZBN_CMN_20030731_wpr/16111",1
"最近/Nd/ZBN_CMN_20010130_wpr/26862","最近/Nd/ZBN_CMN_20010130_wpr/26862",1
"最近/Nd/ZBN_CMN_20030924_wpr/26991","最近/Nd/ZBN_CMN_20030924_wpr/26991",1
"最近/Nd/ZBN_CMN_20030616_wpr/56840","最近/Nd/ZBN_CMN_20030616_wpr/56840",1
"今后/Nd/CNA_CMN_20001208_wpr/11848","今后/Nd/CNA_CMN_20001208_wpr/11848",1
"将来/Nd/ZBN_CMN_20001010_wpr/16990","将来/Nd/ZBN_CMN_20001010_wpr/16990",1
"今后/Nd/CNA_CMN_20001231_wpr/88530","今后/Nd/CNA_CMN_20001231_wpr/88530",1
"今后/Nd/ZBN_CMN_20030525_wpr/42120","今后/Nd/ZBN_CMN_20030525_wpr/42120",1
"今后/Nd/ZBN_CMN_20030730_wpr/66543","今后/Nd/ZBN_CMN_20030730_wpr/66543",1
"将来/Nd/ZBN_CMN_20030723_wpr/19676","将来/Nd/ZBN_CMN_20030723_wpr/19676",1
"今后/Nd/ZBN_CMN_20030811_wpr/27341","今后/Nd/ZBN_CMN_20030811_wpr/27341",1
"将来/Nd/ZBN_CMN_20030612_wpr/6741","将来/Nd/ZBN_CMN_20030612_wpr/6741",1
"将来/Nd/XIN_CMN_20030809_wpr/42768","将来/Nd/XIN_CMN_20030809_wpr/42768",1
"将来/Nd/ZBN_CMN_20030812_wpr/70736","将来/Nd/ZBN_CMN_20030812_wpr/70736",1
"将来/Nd/CNA_CMN_20001203_wpr/25721","将来/Nd/CNA_CMN_20001203_wpr/25721",1
"今后/Nd/CNA_CMN_20001210_wpr/12658","今后/Nd/CNA_CMN_20001210_wpr/12658",1
"最近/Nd/ZBN_CMN_20030612_wpr/56190","最近/Nd/ZBN_CMN_20030612_wpr/56190",1
"最近/Nd/XIN_CMN_20001220_wpr/35702","最近/Nd/XIN_CMN_20001220_wpr/35702",1
"最近/Nd/XIN_CMN_20001024_wpr/42903","最近/Nd/XIN_CMN_20001024_wpr/42903",1
"最近/Nd/CNA_CMN_20001224_wpr/32584","最近/Nd/CNA_CMN_20001224_wpr/32584",1
"最近/Nd/CNA_CMN_20001218_wpr/72088","最近/Nd/CNA_CMN_20001218_wpr/72088",1
"最近/Nd/XIN_CMN_20030511_wpr/4802","最近/Nd/XIN_CMN_20030511_wpr/4802",1
"最近/Nd/CNA_CMN_20001213_wpr/122897","最近/Nd/CNA_CMN_20001213_wpr/122897",1
"最近/Nd/ZBN_CMN_20001025_wpr/16998","最近/Nd/ZBN_CMN_20001025_wpr/16998",1
"最近/Nd/CNA_CMN_20001013_wpr/81355","最近/Nd/CNA_CMN_20001013_wpr/81355",1
"最近/Nd/ZBN_CMN_20030629_wpr/28029","最近/Nd/ZBN_CMN_20030629_wpr/28029",1
"最近/Nd/CNA_CMN_20001115_wpr/22050","最近/Nd/CNA_CMN_20001115_wpr/22050",1
"最近/Nd/ZBN_CMN_20010121_wpr/15796","最近/Nd/ZBN_CMN_20010121_wpr/15796",1
"最近/Nd/ZBN_CMN_20030714_wpr/1763","最近/Nd/ZBN_CMN_20030714_wpr/1763",1
"最近/Nd/ZBN_CMN_20001214_wpr/19140","最近/Nd/ZBN_CMN_20001214_wpr/19140",1
"最近/Nd/ZBN_CMN_20030517_wpr/444","最近/Nd/ZBN_CMN_20030517_wpr/444",1
"最近/Nd/CNA_CMN_20001005_wpr/14260","最近/Nd/CNA_CMN_20001005_wpr/14260",1
"最近/Nd/CNA_CMN_20001002_wpr/49948","最近/Nd/CNA_CMN_20001002_wpr/49948",1
"最近/Nd/ZBN_CMN_20030615_wpr/50652","最近/Nd/ZBN_CMN_20030615_wpr/50652",1
"最近/Nd/ZBN_CMN_20030819_wpr/77200","最近/Nd/ZBN_CMN_20030819_wpr/77200",1
"最近/Nd/CNA_CMN_20001204_wpr/26328","最近/Nd/CNA_CMN_20001204_wpr/26328",1
"最近/Nd/ZBN_CMN_20030727_wpr/37807","最近/Nd/ZBN_CMN_20030727_wpr/37807",1
"最近/Nd/ZBN_CMN_20030715_wpr/29360","最近/Nd/ZBN_CMN_20030715_wpr/29360",1
"未来/Nd/ZBN_CMN_20030729_wpr/30936","未来/Nd/ZBN_CMN_20030729_wpr/30936",1
"最近/Nd/ZBN_CMN_20030402_wpr/23437","最近/Nd/ZBN_CMN_20030402_wpr/23437",1
"未来/Nd/ZBN_CMN_20001106_wpr/35028","未来/Nd/ZBN_CMN_20001106_wpr/35028",1
"最近/Nd/ZBN_CMN_20030702_wpr/60703","最近/Nd/ZBN_CMN_20030702_wpr/60703",1
"最近/Nd/ZBN_CMN_20030815_wpr/11854","最近/Nd/ZBN_CMN_20030815_wpr/11854",1
"最近/Nd/CNA_CMN_20001216_wpr/73300","最近/Nd/CNA_CMN_20001216_wpr/73300",1
"最近/Nd/CNA_CMN_20001020_wpr/66531","最近/Nd/CNA_CMN_20001020_wpr/66531",1
"最近/Nd/CNA_CMN_20001216_wpr/52801","最近/Nd/CNA_CMN_20001216_wpr/52801",1
"最近/Nd/CNA_CMN_20001116_wpr/145446","最近/Nd/CNA_CMN_20001116_wpr/145446",1
"最近/Nd/ZBN_CMN_20030518_wpr/25706","最近/Nd/ZBN_CMN_20030518_wpr/25706",1
"最近/Nd/CNA_CMN_20001025_wpr/56374","最近/Nd/CNA_CMN_20001025_wpr/56374",1
"最近/Nd/ZBN_CMN_20001211_wpr/11145","最近/Nd/ZBN_CMN_20001211_wpr/11145",1
"最近/Nd/ZBN_CMN_20030519_wpr/29886","最近/Nd/ZBN_CMN_20030519_wpr/29886",1
"最近/Nd/CNA_CMN_20010106_wpr/99979","最近/Nd/CNA_CMN_20010106_wpr/99979",1
"最近/Nd/ZBN_CMN_20001229_wpr/18262","最近/Nd/ZBN_CMN_20001229_wpr/18262",1
"最近/Nd/CNA_CMN_20030514_wpr/10979","最近/Nd/CNA_CMN_20030514_wpr/10979",1
"最近/Nd/ZBN_CMN_20001027_wpr/39136","最近/Nd/ZBN_CMN_20001027_wpr/39136",1
"最近/Nd/CNA_CMN_20001120_wpr/72440","最近/Nd/CNA_CMN_20001120_wpr/72440",1
"最近/Nd/CNA_CMN_20001021_wpr/79604","最近/Nd/CNA_CMN_20001021_wpr/79604",1
"最近/Nd/XIN_CMN_20030415_wpr/82756","最近/Nd/XIN_CMN_20030415_wpr/82756",1
"最近/Nd/CNA_CMN_20001218_wpr/42130","最近/Nd/CNA_CMN_20001218_wpr/42130",1
"最近/Nd/CNA_CMN_20001008_wpr/1486","最近/Nd/CNA_CMN_20001008_wpr/1486",1
"最近/Nd/ZBN_CMN_20030516_wpr/64313","最近/Nd/ZBN_CMN_20030516_wpr/64313",1
"最近/Nd/XIN_CMN_20030718_wpr/82436","最近/Nd/XIN_CMN_20030718_wpr/82436",1
"最近/Nd/ZBN_CMN_20030823_wpr/46168","最近/Nd/ZBN_CMN_20030823_wpr/46168",1
"最近/Nd/ZBN_CMN_20030428_wpr/33335","最近/Nd/ZBN_CMN_20030428_wpr/33335",1
"最近/Nd/XIN_CMN_20030603_wpr/40886","最近/Nd/XIN_CMN_20030603_wpr/40886",1
"将来/Nd/ZBN_CMN_20030902_wpr/42051","将来/Nd/ZBN_CMN_20030902_wpr/42051",1
"最近/Nd/XIN_CMN_20030521_wpr/14830","最近/Nd/XIN_CMN_20030521_wpr/14830",1
"最近/Nd/XIN_CMN_20030716_wpr/62792","最近/Nd/XIN_CMN_20030716_wpr/62792",1
"最近/Nd/XIN_CMN_20030719_wpr/49210","最近/Nd/XIN_CMN_20030719_wpr/49210",1
"最近/Nd/CNA_CMN_20001222_wpr/7194","最近/Nd/CNA_CMN_20001222_wpr/7194",1
"最近/Nd/ZBN_CMN_20030901_wpr/31483","最近/Nd/ZBN_CMN_20030901_wpr/31483",1
"最近/Nd/CNA_CMN_20010103_wpr/115715","最近/Nd/CNA_CMN_20010103_wpr/115715",1
"最近/Nd/XIN_CMN_20001130_wpr/18750","最近/Nd/XIN_CMN_20001130_wpr/18750",1
