"","tokenlabel","cluster"
"民意/Na/XIN_CMN_20001113_wpr/48046","民意/Na/XIN_CMN_20001113_wpr/48046",1
"民意/Na/XIN_CMN_20030924_wpr/68048","民意/Na/XIN_CMN_20030924_wpr/68048",1
"民意/Na/CNA_CMN_20001219_wpr/65334","民意/Na/CNA_CMN_20001219_wpr/65334",1
"民意/Na/CNA_CMN_20030906_wpr/1685","民意/Na/CNA_CMN_20030906_wpr/1685",1
"民意/Na/XIN_CMN_20030609_wpr/1604","民意/Na/XIN_CMN_20030609_wpr/1604",1
"民意/Na/XIN_CMN_20030905_wpr/15688","民意/Na/XIN_CMN_20030905_wpr/15688",1
"民意/Na/CNA_CMN_20001009_wpr/30070","民意/Na/CNA_CMN_20001009_wpr/30070",1
"民意/Na/ZBN_CMN_20001002_wpr/20324","民意/Na/ZBN_CMN_20001002_wpr/20324",1
"民意/Na/CNA_CMN_20001009_wpr/30087","民意/Na/CNA_CMN_20001009_wpr/30087",1
"民意/Na/XIN_CMN_20030927_wpr/55148","民意/Na/XIN_CMN_20030927_wpr/55148",1
"民意/Na/ZBN_CMN_20030605_wpr/51552","民意/Na/ZBN_CMN_20030605_wpr/51552",1
"民意/Na/XIN_CMN_20010122_wpr/57969","民意/Na/XIN_CMN_20010122_wpr/57969",1
"民意/Na/XIN_CMN_20030913_wpr/3136","民意/Na/XIN_CMN_20030913_wpr/3136",1
"民意/Na/ZBN_CMN_20030409_wpr/47025","民意/Na/ZBN_CMN_20030409_wpr/47025",1
"民意/Na/ZBN_CMN_20001002_wpr/1909","民意/Na/ZBN_CMN_20001002_wpr/1909",1
"民意/Na/XIN_CMN_20030501_wpr/28247","民意/Na/XIN_CMN_20030501_wpr/28247",1
"民意/Na/XIN_CMN_20030406_wpr/61855","民意/Na/XIN_CMN_20030406_wpr/61855",1
"民意/Na/XIN_CMN_20030604_wpr/8138","民意/Na/XIN_CMN_20030604_wpr/8138",1
"民意/Na/XIN_CMN_20030407_wpr/1416","民意/Na/XIN_CMN_20030407_wpr/1416",1
"舆论/Na/XIN_CMN_20030929_wpr/11032","舆论/Na/XIN_CMN_20030929_wpr/11032",2
"民意/Na/CNA_CMN_20001022_wpr/2870","民意/Na/CNA_CMN_20001022_wpr/2870",2
"民意/Na/ZBN_CMN_20001128_wpr/6723","民意/Na/ZBN_CMN_20001128_wpr/6723",2
"民意/Na/ZBN_CMN_20010113_wpr/17971","民意/Na/ZBN_CMN_20010113_wpr/17971",2
"民意/Na/CNA_CMN_20001214_wpr/127654","民意/Na/CNA_CMN_20001214_wpr/127654",2
"民意/Na/CNA_CMN_20001024_wpr/129891","民意/Na/CNA_CMN_20001024_wpr/129891",2
"民意/Na/CNA_CMN_20001101_wpr/127799","民意/Na/CNA_CMN_20001101_wpr/127799",2
"民意/Na/ZBN_CMN_20001027_wpr/1447","民意/Na/ZBN_CMN_20001027_wpr/1447",2
"民意/Na/CNA_CMN_20010107_wpr/1461","民意/Na/CNA_CMN_20010107_wpr/1461",2
"民意/Na/ZBN_CMN_20030808_wpr/59987","民意/Na/ZBN_CMN_20030808_wpr/59987",2
"民意/Na/ZBN_CMN_20030728_wpr/14768","民意/Na/ZBN_CMN_20030728_wpr/14768",2
"民意/Na/ZBN_CMN_20030626_wpr/82128","民意/Na/ZBN_CMN_20030626_wpr/82128",2
"民意/Na/CNA_CMN_20001016_wpr/27348","民意/Na/CNA_CMN_20001016_wpr/27348",2
"民意/Na/XIN_CMN_20030623_wpr/57904","民意/Na/XIN_CMN_20030623_wpr/57904",2
"民意/Na/ZBN_CMN_20030613_wpr/49171","民意/Na/ZBN_CMN_20030613_wpr/49171",2
"民意/Na/CNA_CMN_20010113_wpr/64284","民意/Na/CNA_CMN_20010113_wpr/64284",2
"民意/Na/CNA_CMN_20001214_wpr/28001","民意/Na/CNA_CMN_20001214_wpr/28001",2
"民意/Na/CNA_CMN_20001212_wpr/134906","民意/Na/CNA_CMN_20001212_wpr/134906",2
"民意/Na/CNA_CMN_20001229_wpr/31860","民意/Na/CNA_CMN_20001229_wpr/31860",2
"民意/Na/CNA_CMN_20001229_wpr/32078","民意/Na/CNA_CMN_20001229_wpr/32078",2
"民意/Na/CNA_CMN_20001102_wpr/118577","民意/Na/CNA_CMN_20001102_wpr/118577",2
"民意/Na/ZBN_CMN_20030925_wpr/37983","民意/Na/ZBN_CMN_20030925_wpr/37983",2
"民意/Na/ZBN_CMN_20030927_wpr/36571","民意/Na/ZBN_CMN_20030927_wpr/36571",2
"民意/Na/CNA_CMN_20010121_wpr/16274","民意/Na/CNA_CMN_20010121_wpr/16274",2
"民意/Na/ZBN_CMN_20001101_wpr/1508","民意/Na/ZBN_CMN_20001101_wpr/1508",2
"民意/Na/ZBN_CMN_20001201_wpr/12329","民意/Na/ZBN_CMN_20001201_wpr/12329",2
"民意/Na/CNA_CMN_20010105_wpr/73482","民意/Na/CNA_CMN_20010105_wpr/73482",2
"民意/Na/CNA_CMN_20001220_wpr/27567","民意/Na/CNA_CMN_20001220_wpr/27567",2
"民意/Na/ZBN_CMN_20001111_wpr/2481","民意/Na/ZBN_CMN_20001111_wpr/2481",2
"民意/Na/CNA_CMN_20001104_wpr/126273","民意/Na/CNA_CMN_20001104_wpr/126273",2
"民意/Na/CNA_CMN_20001022_wpr/14313","民意/Na/CNA_CMN_20001022_wpr/14313",2
"民意/Na/ZBN_CMN_20030605_wpr/51634","民意/Na/ZBN_CMN_20030605_wpr/51634",2
"民意/Na/ZBN_CMN_20010128_wpr/2793","民意/Na/ZBN_CMN_20010128_wpr/2793",2
"民意/Na/CNA_CMN_20001130_wpr/18330","民意/Na/CNA_CMN_20001130_wpr/18330",2
"民意/Na/CNA_CMN_20001111_wpr/43668","民意/Na/CNA_CMN_20001111_wpr/43668",2
"民意/Na/CNA_CMN_20010118_wpr/11852","民意/Na/CNA_CMN_20010118_wpr/11852",2
"民意/Na/ZBN_CMN_20030417_wpr/73033","民意/Na/ZBN_CMN_20030417_wpr/73033",2
"民意/Na/CNA_CMN_20001122_wpr/6590","民意/Na/CNA_CMN_20001122_wpr/6590",2
"民意/Na/CNA_CMN_20001027_wpr/13284","民意/Na/CNA_CMN_20001027_wpr/13284",2
"民意/Na/CNA_CMN_20001220_wpr/129169","民意/Na/CNA_CMN_20001220_wpr/129169",2
"民意/Na/ZBN_CMN_20001115_wpr/3726","民意/Na/ZBN_CMN_20001115_wpr/3726",2
"民意/Na/XIN_CMN_20001002_wpr/13712","民意/Na/XIN_CMN_20001002_wpr/13712",2
"民意/Na/XIN_CMN_20030916_wpr/2304","民意/Na/XIN_CMN_20030916_wpr/2304",2
"民意/Na/ZBN_CMN_20030902_wpr/44155","民意/Na/ZBN_CMN_20030902_wpr/44155",2
"民意/Na/XIN_CMN_20030531_wpr/52081","民意/Na/XIN_CMN_20030531_wpr/52081",2
"民意/Na/CNA_CMN_20001230_wpr/29720","民意/Na/CNA_CMN_20001230_wpr/29720",2
"民意/Na/ZBN_CMN_20001212_wpr/27458","民意/Na/ZBN_CMN_20001212_wpr/27458",2
"民意/Na/CNA_CMN_20001130_wpr/176511","民意/Na/CNA_CMN_20001130_wpr/176511",2
"民意/Na/XIN_CMN_20001117_wpr/22617","民意/Na/XIN_CMN_20001117_wpr/22617",2
"民意/Na/ZBN_CMN_20030804_wpr/73596","民意/Na/ZBN_CMN_20030804_wpr/73596",2
"民意/Na/ZBN_CMN_20030604_wpr/34905","民意/Na/ZBN_CMN_20030604_wpr/34905",2
"民意/Na/CNA_CMN_20001128_wpr/61849","民意/Na/CNA_CMN_20001128_wpr/61849",2
"民意/Na/ZBN_CMN_20030827_wpr/35123","民意/Na/ZBN_CMN_20030827_wpr/35123",2
"民意/Na/ZBN_CMN_20030504_wpr/51825","民意/Na/ZBN_CMN_20030504_wpr/51825",2
"民意/Na/CNA_CMN_20001016_wpr/5423","民意/Na/CNA_CMN_20001016_wpr/5423",2
"民意/Na/CNA_CMN_20001001_wpr/4795","民意/Na/CNA_CMN_20001001_wpr/4795",2
"民意/Na/CNA_CMN_20001229_wpr/147249","民意/Na/CNA_CMN_20001229_wpr/147249",2
"民意/Na/CNA_CMN_20001106_wpr/79381","民意/Na/CNA_CMN_20001106_wpr/79381",2
"民意/Na/CNA_CMN_20010103_wpr/111867","民意/Na/CNA_CMN_20010103_wpr/111867",2
"民意/Na/XIN_CMN_20010106_wpr/18778","民意/Na/XIN_CMN_20010106_wpr/18778",2
"民意/Na/XIN_CMN_20030823_wpr/53093","民意/Na/XIN_CMN_20030823_wpr/53093",2
