"Coll_Word"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"exp_1"	"exp_2"	"exp_3"	"exp_4"	"exp_5"	"exp_6"	"exp_7"	"pbin_1"	"pbin_2"	"pbin_3"	"pbin_4"	"pbin_5"	"pbin_6"	"pbin_7"	"SumAbsDev"	"LargestDev"
"1.17"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"10万"	0	0	2	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	1.36	-0.531	-0.056	-0.052	-0.135	2.196	"3"
"13.7"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"14万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"15亿"	1	0	1	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	1.212	-0.034	0.427	-0.531	-0.056	-0.052	-0.135	2.447	"1"
"160亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"16亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"19.066"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"1万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"1亿"	0	0	2	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	1.36	-0.531	-0.056	-0.052	-0.135	2.196	"3"
"200万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"20万"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"20亿"	0	0	2	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	1.36	-0.531	-0.056	-0.052	-0.135	2.196	"3"
"2700万"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"3000万"	0	1	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	1.412	-0.102	-0.265	-0.028	-0.026	-0.067	1.914	"2"
"300万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"35万多"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"35亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"398.7"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"4000"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"4226万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"45亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"460万"	1	0	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	1.506	-0.017	-0.102	-0.265	-0.028	-0.026	-0.067	2.011	"1"
"48亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"4亿8000万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"4亿多"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"5000"	0	1	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	1.412	-0.102	-0.265	-0.028	-0.026	-0.067	1.914	"2"
"5000万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"50万"	0	1	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	1.412	-0.102	-0.265	-0.028	-0.026	-0.067	1.914	"2"
"52万余"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"59.3"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"5亿"	0	0	2	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	1.36	-0.531	-0.056	-0.052	-0.135	2.196	"3"
"60多万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"65万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"6万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"71.6"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"7870多万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"7日电"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"8000万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"800万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"84"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"860万"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"890101"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"891001"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"891019"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"891229"	0	0	0	0	0	1	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	1.238	-0.067	1.731	"6"
"8亿"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"8亿多"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"900114"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"960亿6000万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"9亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"9亿多"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"ebselen"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"一亿"	0	1	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	1.412	-0.102	-0.265	-0.028	-0.026	-0.067	1.914	"2"
"一切"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"一千万"	0	1	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	1.412	-0.102	-0.265	-0.028	-0.026	-0.067	1.914	"2"
"一半"	1	0	0	0	1	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	1.212	-0.034	-0.203	-0.531	0.915	-0.052	-0.135	3.082	"1"
"一定"	0	1	0	1	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	1.12	-0.203	0.152	-0.056	-0.052	-0.135	1.746	"2"
"一年"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"一点二二亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"一百零八万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"一致"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"万"	0	2	2	0	0	0	0	0.125	0.155	0.835	1.829	0.251	0.231	0.574	-0.055	2.069	0.711	-1.061	-0.113	-0.104	-0.269	4.382	"2"
"万八千"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"万辅彬"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"三亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"三宫"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"三成"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"三百一十四万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"上亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"上当"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"下列"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"下半年"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"不仅"	0	1	0	0	0	1	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	1.12	-0.203	-0.531	-0.056	0.949	-0.135	3.022	"2"
"不会"	0	0	0	2	2	1	2	0.218	0.271	1.462	3.2	0.439	0.405	1.005	-0.096	-0.12	-0.712	-0.519	1.174	0.467	0.576	3.664	"5"
"不但"	0	0	0	2	0	0	1	0.094	0.116	0.627	1.372	0.188	0.174	0.431	-0.041	-0.051	-0.305	0.361	-0.084	-0.078	0.43	1.35	"7"
"不便"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"不再"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"不准"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"不可"	0	0	0	5	0	0	0	0.156	0.193	1.044	2.286	0.314	0.289	0.718	-0.069	-0.086	-0.509	1.7	-0.141	-0.129	-0.336	2.97	"4"
"不堪"	0	0	2	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	1.36	-0.531	-0.056	-0.052	-0.135	2.196	"3"
"不如"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"不当"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"不得"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"不得不"	0	0	0	0	0	1	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	1.238	-0.067	1.731	"6"
"不治"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"不肖"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"不能"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"不至于"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"不致"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"不要"	0	0	0	5	0	0	1	0.187	0.232	1.253	2.743	0.376	0.347	0.861	-0.083	-0.103	-0.61	1.13	-0.169	-0.155	0.218	2.468	"4"
"丑闻"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"且"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"业"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"业者"	0	0	3	0	1	0	0	0.125	0.155	0.835	1.829	0.251	0.231	0.574	-0.055	-0.069	1.512	-1.061	0.641	-0.104	-0.269	3.711	"3"
"东协"	0	0	2	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	1.36	-0.531	-0.056	-0.052	-0.135	2.196	"3"
"两万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"两亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"两亿一千万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"两千多"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"两国"	0	0	0	1	0	0	1	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.152	-0.056	-0.052	0.574	1.099	"7"
"严"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"严重"	0	0	3	14	2	4	25	1.497	1.857	10.026	21.944	3.011	2.777	6.888	-0.66	-0.823	-2.271	-1.843	-0.384	0.521	9.066	15.568	"7"
"个人"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"中央区"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"中方"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"中止"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"中等县"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"中美关系"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"主权"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"举重"	0	0	0	0	0	0	2	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	-0.531	-0.056	-0.052	1.686	2.59	"7"
"举重界"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"义务"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"之间"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"乌"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"乌敏岛"	0	0	0	0	1	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	1.202	-0.026	-0.067	1.693	"5"
"九一一"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"九二一"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"乱"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"予"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"事业"	0	1	0	1	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	1.12	-0.203	0.152	-0.056	-0.052	-0.135	1.746	"2"
"事件"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"事故"	0	0	0	1	1	0	3	0.156	0.193	1.044	2.286	0.314	0.289	0.718	-0.069	-0.086	-0.509	-0.61	0.558	-0.129	1.628	3.589	"7"
"二万九千五百五十八"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"二千五百万"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"二恶英"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"二手"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"二手菸"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"于是"	0	0	0	0	0	1	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	1.238	-0.067	1.731	"6"
"五"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"五亿"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"五十万"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"五台山"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"五百万"	0	0	1	1	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	0.427	0.152	-0.056	-0.052	-0.135	0.884	"3"
"五百亿"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"亡"	0	0	0	1	0	0	1	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.152	-0.056	-0.052	0.574	1.099	"7"
"交班"	0	0	0	0	0	0	1	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	-0.026	0.843	1.295	"7"
"亦"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"产"	1	0	0	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	1.506	-0.017	-0.102	-0.265	-0.028	-0.026	-0.067	2.011	"1"
"产业"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"产生"	0	0	0	3	0	0	0	0.094	0.116	0.627	1.372	0.188	0.174	0.431	-0.041	-0.051	-0.305	1.02	-0.084	-0.078	-0.202	1.781	"4"
"产经"	0	0	0	0	0	1	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	-0.265	-0.028	1.238	-0.067	1.731	"6"
"亩"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"人们"	0	0	0	2	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	-0.203	0.68	-0.056	-0.052	-0.135	1.188	"4"
"人体"	0	0	0	7	1	0	0	0.249	0.31	1.671	3.657	0.502	0.463	1.148	-0.11	-0.137	-0.814	1.698	0.393	-0.207	-0.538	3.897	"4"
"人力"	0	0	2	0	0	0	0	0.062	0.077	0.418	0.914	0.125	0.116	0.287	-0.028	-0.034	1.36	-0.531	-0.056	-0.052	-0.135	2.196	"3"
"人员"	0	0	1	2	0	0	6	0.281	0.348	1.88	4.115	0.565	0.521	1.292	-0.124	-0.154	-0.387	-0.855	-0.253	-0.233	3.305	5.311	"7"
"人命"	0	0	1	0	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	0.68	-0.265	-0.028	-0.026	-0.067	1.097	"3"
"人权"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"人民"	0	0	0	6	1	0	0	0.218	0.271	1.462	3.2	0.439	0.405	1.005	-0.096	-0.12	-0.712	1.41	0.438	-0.181	-0.471	3.428	"4"
"人民币"	0	2	7	0	0	0	0	0.281	0.348	1.88	4.115	0.565	0.521	1.292	-0.124	1.347	3.38	-2.388	-0.253	-0.233	-0.605	8.33	"3"
"人类"	0	0	0	7	0	0	0	0.218	0.271	1.462	3.2	0.439	0.405	1.005	-0.096	-0.12	-0.712	2.379	-0.197	-0.181	-0.471	4.156	"4"
"人群"	0	0	0	1	0	0	0	0.031	0.039	0.209	0.457	0.063	0.058	0.144	-0.014	-0.017	-0.102	0.34	-0.028	-0.026	-0.067	0.594	"4"
"人身"	0	0	0	3	0	0	2	0.156	0.193	1.044	2.286	0.314	0.289	0.718	-0.069	-0.086	-0.509	0.377	-0.141	-0.129	0.815	2.126	"7"
