"","tokenlabel","cluster"
"数字/Na/XIN_CMN_20030420_wpr/33935","数字/Na/XIN_CMN_20030420_wpr/33935",1
"数字/Na/ZBN_CMN_20030803_wpr/66306","数字/Na/ZBN_CMN_20030803_wpr/66306",1
"数字/Na/ZBN_CMN_20030730_wpr/5803","数字/Na/ZBN_CMN_20030730_wpr/5803",1
"数字/Na/ZBN_CMN_20010129_wpr/10583","数字/Na/ZBN_CMN_20010129_wpr/10583",1
"数字/Na/ZBN_CMN_20030929_wpr/21538","数字/Na/ZBN_CMN_20030929_wpr/21538",1
"数字/Na/XIN_CMN_20030531_wpr/3853","数字/Na/XIN_CMN_20030531_wpr/3853",1
"数字/Na/XIN_CMN_20030430_wpr/49262","数字/Na/XIN_CMN_20030430_wpr/49262",1
"数字/Na/XIN_CMN_20030608_wpr/34398","数字/Na/XIN_CMN_20030608_wpr/34398",1
"数字/Na/XIN_CMN_20030621_wpr/20475","数字/Na/XIN_CMN_20030621_wpr/20475",1
"数字/Na/ZBN_CMN_20030422_wpr/4499","数字/Na/ZBN_CMN_20030422_wpr/4499",1
"数字/Na/XIN_CMN_20010113_wpr/23708","数字/Na/XIN_CMN_20010113_wpr/23708",1
"数字/Na/ZBN_CMN_20030511_wpr/560","数字/Na/ZBN_CMN_20030511_wpr/560",1
"数字/Na/XIN_CMN_20010129_wpr/27284","数字/Na/XIN_CMN_20010129_wpr/27284",1
"数字/Na/XIN_CMN_20030605_wpr/58307","数字/Na/XIN_CMN_20030605_wpr/58307",1
"数字/Na/XIN_CMN_20030716_wpr/207","数字/Na/XIN_CMN_20030716_wpr/207",1
"数字/Na/ZBN_CMN_20030417_wpr/91573","数字/Na/ZBN_CMN_20030417_wpr/91573",1
"数字/Na/ZBN_CMN_20030421_wpr/77435","数字/Na/ZBN_CMN_20030421_wpr/77435",1
"数字/Na/CNA_CMN_20030413_wpr/991","数字/Na/CNA_CMN_20030413_wpr/991",1
"数字/Na/CNA_CMN_20010115_wpr/5374","数字/Na/CNA_CMN_20010115_wpr/5374",1
"数字/Na/ZBN_CMN_20030415_wpr/75171","数字/Na/ZBN_CMN_20030415_wpr/75171",1
"数字/Na/ZBN_CMN_20030605_wpr/41070","数字/Na/ZBN_CMN_20030605_wpr/41070",1
"数字/Na/ZBN_CMN_20030421_wpr/2445","数字/Na/ZBN_CMN_20030421_wpr/2445",1
"数字/Na/ZBN_CMN_20010117_wpr/27581","数字/Na/ZBN_CMN_20010117_wpr/27581",1
"数字/Na/XIN_CMN_20030420_wpr/29886","数字/Na/XIN_CMN_20030420_wpr/29886",1
