"","tokenlabel","cluster"
"官员/Na/ZBN_CMN_20030916_wpr/64678","官员/Na/ZBN_CMN_20030916_wpr/64678",1
"官员/Na/CNA_CMN_20001202_wpr/127113","官员/Na/CNA_CMN_20001202_wpr/127113",1
"官员/Na/CNA_CMN_20010110_wpr/101052","官员/Na/CNA_CMN_20010110_wpr/101052",1
"官员/Na/ZBN_CMN_20030510_wpr/37475","官员/Na/ZBN_CMN_20030510_wpr/37475",1
"官员/Na/XIN_CMN_20030620_wpr/40628","官员/Na/XIN_CMN_20030620_wpr/40628",1
"官员/Na/CNA_CMN_20010131_wpr/67303","官员/Na/CNA_CMN_20010131_wpr/67303",1
"官员/Na/CNA_CMN_20001027_wpr/15973","官员/Na/CNA_CMN_20001027_wpr/15973",1
"职员/Na/XIN_CMN_20030911_wpr/68489","职员/Na/XIN_CMN_20030911_wpr/68489",1
"官员/Na/XIN_CMN_20030511_wpr/47958","官员/Na/XIN_CMN_20030511_wpr/47958",1
"职员/Na/ZBN_CMN_20030705_wpr/67660","职员/Na/ZBN_CMN_20030705_wpr/67660",1
"官员/Na/CNA_CMN_20001028_wpr/28033","官员/Na/CNA_CMN_20001028_wpr/28033",1
"官员/Na/CNA_CMN_20001216_wpr/32693","官员/Na/CNA_CMN_20001216_wpr/32693",1
"职员/Na/XIN_CMN_20030809_wpr/45949","职员/Na/XIN_CMN_20030809_wpr/45949",1
"官员/Na/CNA_CMN_20030501_wpr/5852","官员/Na/CNA_CMN_20030501_wpr/5852",1
"官员/Na/ZBN_CMN_20030612_wpr/44664","官员/Na/ZBN_CMN_20030612_wpr/44664",1
"职员/Na/ZBN_CMN_20030416_wpr/67922","职员/Na/ZBN_CMN_20030416_wpr/67922",1
"职员/Na/ZBN_CMN_20030414_wpr/24568","职员/Na/ZBN_CMN_20030414_wpr/24568",1
"职员/Na/ZBN_CMN_20001117_wpr/30716","职员/Na/ZBN_CMN_20001117_wpr/30716",1
"职员/Na/ZBN_CMN_20030515_wpr/53993","职员/Na/ZBN_CMN_20030515_wpr/53993",1
