"","tokenlabel","cluster"
"读者/Na/ZBN_CMN_20030729_wpr/13721","读者/Na/ZBN_CMN_20030729_wpr/13721",1
"读者/Na/ZBN_CMN_20030714_wpr/62813","读者/Na/ZBN_CMN_20030714_wpr/62813",1
"读者/Na/ZBN_CMN_20030526_wpr/2267","读者/Na/ZBN_CMN_20030526_wpr/2267",1
"读者/Na/XIN_CMN_20030414_wpr/35325","读者/Na/XIN_CMN_20030414_wpr/35325",1
"读者/Na/ZBN_CMN_20001111_wpr/192","读者/Na/ZBN_CMN_20001111_wpr/192",1
"读者/Na/ZBN_CMN_20010127_wpr/33973","读者/Na/ZBN_CMN_20010127_wpr/33973",1
"读者/Na/ZBN_CMN_20030906_wpr/36939","读者/Na/ZBN_CMN_20030906_wpr/36939",1
"读者/Na/XIN_CMN_20010113_wpr/15888","读者/Na/XIN_CMN_20010113_wpr/15888",1
"读者/Na/ZBN_CMN_20030901_wpr/66149","读者/Na/ZBN_CMN_20030901_wpr/66149",1
"读者/Na/ZBN_CMN_20030902_wpr/27059","读者/Na/ZBN_CMN_20030902_wpr/27059",1
"读者/Na/ZBN_CMN_20001222_wpr/23942","读者/Na/ZBN_CMN_20001222_wpr/23942",1
"读者/Na/ZBN_CMN_20001020_wpr/18739","读者/Na/ZBN_CMN_20001020_wpr/18739",1
"读者/Na/ZBN_CMN_20030805_wpr/55817","读者/Na/ZBN_CMN_20030805_wpr/55817",1
"读者/Na/ZBN_CMN_20010110_wpr/20629","读者/Na/ZBN_CMN_20010110_wpr/20629",1
"读者/Na/ZBN_CMN_20010111_wpr/18983","读者/Na/ZBN_CMN_20010111_wpr/18983",1
"读者/Na/ZBN_CMN_20030621_wpr/40309","读者/Na/ZBN_CMN_20030621_wpr/40309",1
"读者/Na/ZBN_CMN_20030923_wpr/55891","读者/Na/ZBN_CMN_20030923_wpr/55891",1
"读者/Na/ZBN_CMN_20001116_wpr/22644","读者/Na/ZBN_CMN_20001116_wpr/22644",1
"读者/Na/ZBN_CMN_20001102_wpr/20964","读者/Na/ZBN_CMN_20001102_wpr/20964",1
"读者/Na/ZBN_CMN_20030725_wpr/77059","读者/Na/ZBN_CMN_20030725_wpr/77059",1
"读者/Na/ZBN_CMN_20001108_wpr/26022","读者/Na/ZBN_CMN_20001108_wpr/26022",1
"读者/Na/ZBN_CMN_20030613_wpr/60722","读者/Na/ZBN_CMN_20030613_wpr/60722",1
"读者/Na/ZBN_CMN_20030709_wpr/15088","读者/Na/ZBN_CMN_20030709_wpr/15088",1
"读者/Na/ZBN_CMN_20030612_wpr/1273","读者/Na/ZBN_CMN_20030612_wpr/1273",2
"读者/Na/ZBN_CMN_20030523_wpr/3162","读者/Na/ZBN_CMN_20030523_wpr/3162",2
"读者/Na/ZBN_CMN_20001116_wpr/22697","读者/Na/ZBN_CMN_20001116_wpr/22697",2
"读者/Na/ZBN_CMN_20030908_wpr/2159","读者/Na/ZBN_CMN_20030908_wpr/2159",2
"读者/Na/ZBN_CMN_20030507_wpr/1501","读者/Na/ZBN_CMN_20030507_wpr/1501",2
"读者/Na/ZBN_CMN_20030604_wpr/2717","读者/Na/ZBN_CMN_20030604_wpr/2717",2
