"","tokenlabel","cluster"
"教授/Na/CNA_CMN_20001204_wpr/96170","教授/Na/CNA_CMN_20001204_wpr/96170",1
"教授/Na/CNA_CMN_20001119_wpr/59823","教授/Na/CNA_CMN_20001119_wpr/59823",1
"教授/Na/CNA_CMN_20001108_wpr/6753","教授/Na/CNA_CMN_20001108_wpr/6753",1
"教授/Na/CNA_CMN_20001217_wpr/19803","教授/Na/CNA_CMN_20001217_wpr/19803",1
"教授/Na/CNA_CMN_20001008_wpr/14910","教授/Na/CNA_CMN_20001008_wpr/14910",1
"教授/Na/ZBN_CMN_20030902_wpr/18787","教授/Na/ZBN_CMN_20030902_wpr/18787",1
"教授/Na/CNA_CMN_20001026_wpr/116578","教授/Na/CNA_CMN_20001026_wpr/116578",1
"教授/Na/CNA_CMN_20001119_wpr/33348","教授/Na/CNA_CMN_20001119_wpr/33348",1
"教授/Na/ZBN_CMN_20030717_wpr/41325","教授/Na/ZBN_CMN_20030717_wpr/41325",1
"教授/Na/CNA_CMN_20001203_wpr/1282","教授/Na/CNA_CMN_20001203_wpr/1282",1
"教授/Na/ZBN_CMN_20001021_wpr/19914","教授/Na/ZBN_CMN_20001021_wpr/19914",1
"教授/Na/ZBN_CMN_20001110_wpr/19887","教授/Na/ZBN_CMN_20001110_wpr/19887",1
"教授/Na/ZBN_CMN_20030825_wpr/64617","教授/Na/ZBN_CMN_20030825_wpr/64617",1
"教授/Na/ZBN_CMN_20001128_wpr/29120","教授/Na/ZBN_CMN_20001128_wpr/29120",1
"教授/Na/CNA_CMN_20001019_wpr/36669","教授/Na/CNA_CMN_20001019_wpr/36669",1
"教授/Na/CNA_CMN_20010105_wpr/132470","教授/Na/CNA_CMN_20010105_wpr/132470",1
"教授/Na/ZBN_CMN_20010109_wpr/30765","教授/Na/ZBN_CMN_20010109_wpr/30765",1
"教授/Na/CNA_CMN_20001104_wpr/86071","教授/Na/CNA_CMN_20001104_wpr/86071",1
"教授/Na/ZBN_CMN_20030605_wpr/21398","教授/Na/ZBN_CMN_20030605_wpr/21398",1
"教授/Na/CNA_CMN_20001215_wpr/77830","教授/Na/CNA_CMN_20001215_wpr/77830",1
"教授/Na/CNA_CMN_20001020_wpr/29297","教授/Na/CNA_CMN_20001020_wpr/29297",1
"教授/Na/CNA_CMN_20001105_wpr/49004","教授/Na/CNA_CMN_20001105_wpr/49004",1
"教授/Na/CNA_CMN_20010112_wpr/150737","教授/Na/CNA_CMN_20010112_wpr/150737",1
"教授/Na/CNA_CMN_20001201_wpr/167851","教授/Na/CNA_CMN_20001201_wpr/167851",1
"教授/Na/CNA_CMN_20001120_wpr/6278","教授/Na/CNA_CMN_20001120_wpr/6278",1
"教授/Na/ZBN_CMN_20030729_wpr/51488","教授/Na/ZBN_CMN_20030729_wpr/51488",1
"教授/Na/ZBN_CMN_20030819_wpr/79741","教授/Na/ZBN_CMN_20030819_wpr/79741",1
"教授/Na/XIN_CMN_20001018_wpr/15728","教授/Na/XIN_CMN_20001018_wpr/15728",1
"教授/Na/XIN_CMN_20030619_wpr/62276","教授/Na/XIN_CMN_20030619_wpr/62276",1
"教授/Na/XIN_CMN_20001008_wpr/66096","教授/Na/XIN_CMN_20001008_wpr/66096",1
"教授/Na/XIN_CMN_20030921_wpr/29125","教授/Na/XIN_CMN_20030921_wpr/29125",1
