"","tokenlabel","cluster"
"权力/Na/XIN_CMN_20030615_wpr/3057","权力/Na/XIN_CMN_20030615_wpr/3057",1
"权力/Na/XIN_CMN_20030610_wpr/25377","权力/Na/XIN_CMN_20030610_wpr/25377",1
"权力/Na/ZBN_CMN_20030625_wpr/49598","权力/Na/ZBN_CMN_20030625_wpr/49598",1
"权力/Na/XIN_CMN_20030927_wpr/14714","权力/Na/XIN_CMN_20030927_wpr/14714",1
"权力/Na/XIN_CMN_20001007_wpr/14547","权力/Na/XIN_CMN_20001007_wpr/14547",1
"权力/Na/XIN_CMN_20030902_wpr/21806","权力/Na/XIN_CMN_20030902_wpr/21806",1
"权力/Na/XIN_CMN_20030718_wpr/50821","权力/Na/XIN_CMN_20030718_wpr/50821",1
"权力/Na/XIN_CMN_20001230_wpr/32294","权力/Na/XIN_CMN_20001230_wpr/32294",1
"权力/Na/XIN_CMN_20030721_wpr/43374","权力/Na/XIN_CMN_20030721_wpr/43374",1
"权力/Na/CNA_CMN_20010109_wpr/82160","权力/Na/CNA_CMN_20010109_wpr/82160",1
"权力/Na/CNA_CMN_20001203_wpr/90202","权力/Na/CNA_CMN_20001203_wpr/90202",1
"权力/Na/XIN_CMN_20030710_wpr/62944","权力/Na/XIN_CMN_20030710_wpr/62944",1
"权力/Na/XIN_CMN_20030622_wpr/35751","权力/Na/XIN_CMN_20030622_wpr/35751",1
"权力/Na/XIN_CMN_20001111_wpr/33404","权力/Na/XIN_CMN_20001111_wpr/33404",1
"权力/Na/XIN_CMN_20030425_wpr/9691","权力/Na/XIN_CMN_20030425_wpr/9691",1
"权力/Na/XIN_CMN_20001120_wpr/25397","权力/Na/XIN_CMN_20001120_wpr/25397",1
"权力/Na/XIN_CMN_20001108_wpr/17606","权力/Na/XIN_CMN_20001108_wpr/17606",1
"权力/Na/XIN_CMN_20030905_wpr/13463","权力/Na/XIN_CMN_20030905_wpr/13463",1
"权力/Na/XIN_CMN_20030916_wpr/22422","权力/Na/XIN_CMN_20030916_wpr/22422",1
"权力/Na/XIN_CMN_20030424_wpr/56277","权力/Na/XIN_CMN_20030424_wpr/56277",1
"权力/Na/XIN_CMN_20001224_wpr/8471","权力/Na/XIN_CMN_20001224_wpr/8471",1
"权力/Na/XIN_CMN_20001123_wpr/53454","权力/Na/XIN_CMN_20001123_wpr/53454",1
"权力/Na/XIN_CMN_20030910_wpr/29518","权力/Na/XIN_CMN_20030910_wpr/29518",1
"权力/Na/XIN_CMN_20030603_wpr/58638","权力/Na/XIN_CMN_20030603_wpr/58638",1
"权力/Na/XIN_CMN_20030629_wpr/36523","权力/Na/XIN_CMN_20030629_wpr/36523",1
"权力/Na/XIN_CMN_20001002_wpr/25871","权力/Na/XIN_CMN_20001002_wpr/25871",1
"权力/Na/XIN_CMN_20030910_wpr/76134","权力/Na/XIN_CMN_20030910_wpr/76134",1
"权力/Na/XIN_CMN_20010112_wpr/25129","权力/Na/XIN_CMN_20010112_wpr/25129",1
"权力/Na/XIN_CMN_20030703_wpr/39335","权力/Na/XIN_CMN_20030703_wpr/39335",1
"权力/Na/XIN_CMN_20010122_wpr/40272","权力/Na/XIN_CMN_20010122_wpr/40272",1
"权力/Na/ZBN_CMN_20030915_wpr/49056","权力/Na/ZBN_CMN_20030915_wpr/49056",1
"权力/Na/XIN_CMN_20001006_wpr/31507","权力/Na/XIN_CMN_20001006_wpr/31507",1
"权力/Na/XIN_CMN_20001004_wpr/10050","权力/Na/XIN_CMN_20001004_wpr/10050",1
"权力/Na/XIN_CMN_20001130_wpr/46531","权力/Na/XIN_CMN_20001130_wpr/46531",1
"权力/Na/XIN_CMN_20001207_wpr/16949","权力/Na/XIN_CMN_20001207_wpr/16949",1
"权力/Na/XIN_CMN_20030824_wpr/39042","权力/Na/XIN_CMN_20030824_wpr/39042",1
"权力/Na/XIN_CMN_20001017_wpr/65103","权力/Na/XIN_CMN_20001017_wpr/65103",1
"权力/Na/XIN_CMN_20030618_wpr/44180","权力/Na/XIN_CMN_20030618_wpr/44180",1
"权力/Na/XIN_CMN_20030913_wpr/1701","权力/Na/XIN_CMN_20030913_wpr/1701",1
"权力/Na/XIN_CMN_20030926_wpr/67394","权力/Na/XIN_CMN_20030926_wpr/67394",1
"权力/Na/XIN_CMN_20030912_wpr/63219","权力/Na/XIN_CMN_20030912_wpr/63219",1
"权力/Na/XIN_CMN_20030917_wpr/1493","权力/Na/XIN_CMN_20030917_wpr/1493",1
"权力/Na/XIN_CMN_20030423_wpr/49799","权力/Na/XIN_CMN_20030423_wpr/49799",1
"权力/Na/XIN_CMN_20030424_wpr/22484","权力/Na/XIN_CMN_20030424_wpr/22484",1
"权力/Na/XIN_CMN_20030427_wpr/44502","权力/Na/XIN_CMN_20030427_wpr/44502",1
"权力/Na/XIN_CMN_20001010_wpr/56623","权力/Na/XIN_CMN_20001010_wpr/56623",1
"权力/Na/XIN_CMN_20001010_wpr/56964","权力/Na/XIN_CMN_20001010_wpr/56964",1
"权力/Na/XIN_CMN_20030424_wpr/74392","权力/Na/XIN_CMN_20030424_wpr/74392",1
"权力/Na/XIN_CMN_20030409_wpr/65420","权力/Na/XIN_CMN_20030409_wpr/65420",1
"权力/Na/XIN_CMN_20010122_wpr/3554","权力/Na/XIN_CMN_20010122_wpr/3554",1
"权力/Na/XIN_CMN_20030806_wpr/43919","权力/Na/XIN_CMN_20030806_wpr/43919",1
"权力/Na/XIN_CMN_20001012_wpr/7329","权力/Na/XIN_CMN_20001012_wpr/7329",1
"权力/Na/XIN_CMN_20030708_wpr/6385","权力/Na/XIN_CMN_20030708_wpr/6385",1
"权力/Na/XIN_CMN_20030512_wpr/1575","权力/Na/XIN_CMN_20030512_wpr/1575",1
"权力/Na/XIN_CMN_20030506_wpr/38849","权力/Na/XIN_CMN_20030506_wpr/38849",1
"权力/Na/XIN_CMN_20001007_wpr/22081","权力/Na/XIN_CMN_20001007_wpr/22081",1
"权力/Na/CNA_CMN_20001226_wpr/109970","权力/Na/CNA_CMN_20001226_wpr/109970",2
"职务/Na/CNA_CMN_20001117_wpr/140430","职务/Na/CNA_CMN_20001117_wpr/140430",2
"职务/Na/XIN_CMN_20001218_wpr/25981","职务/Na/XIN_CMN_20001218_wpr/25981",2
"职务/Na/XIN_CMN_20001115_wpr/35894","职务/Na/XIN_CMN_20001115_wpr/35894",2
"职务/Na/CNA_CMN_20001116_wpr/9265","职务/Na/CNA_CMN_20001116_wpr/9265",2
"职务/Na/ZBN_CMN_20030825_wpr/53729","职务/Na/ZBN_CMN_20030825_wpr/53729",2
"职务/Na/XIN_CMN_20010103_wpr/16112","职务/Na/XIN_CMN_20010103_wpr/16112",2
"职务/Na/XIN_CMN_20001213_wpr/10339","职务/Na/XIN_CMN_20001213_wpr/10339",2
"公职/Na/CNA_CMN_20010109_wpr/56384","公职/Na/CNA_CMN_20010109_wpr/56384",2
"职务/Na/XIN_CMN_20001022_wpr/64653","职务/Na/XIN_CMN_20001022_wpr/64653",2
"职务/Na/XIN_CMN_20010122_wpr/27150","职务/Na/XIN_CMN_20010122_wpr/27150",2
"职务/Na/XIN_CMN_20010118_wpr/31344","职务/Na/XIN_CMN_20010118_wpr/31344",2
"职务/Na/XIN_CMN_20010118_wpr/64384","职务/Na/XIN_CMN_20010118_wpr/64384",2
"职务/Na/XIN_CMN_20001115_wpr/35371","职务/Na/XIN_CMN_20001115_wpr/35371",2
"职务/Na/XIN_CMN_20030403_wpr/16097","职务/Na/XIN_CMN_20030403_wpr/16097",2
"职务/Na/XIN_CMN_20030609_wpr/14415","职务/Na/XIN_CMN_20030609_wpr/14415",2
"职务/Na/XIN_CMN_20001221_wpr/35250","职务/Na/XIN_CMN_20001221_wpr/35250",2
"职务/Na/XIN_CMN_20001117_wpr/14549","职务/Na/XIN_CMN_20001117_wpr/14549",2
"职务/Na/XIN_CMN_20001223_wpr/48551","职务/Na/XIN_CMN_20001223_wpr/48551",2
"职务/Na/XIN_CMN_20030609_wpr/14687","职务/Na/XIN_CMN_20030609_wpr/14687",2
"职务/Na/CNA_CMN_20010116_wpr/71127","职务/Na/CNA_CMN_20010116_wpr/71127",2
"职务/Na/XIN_CMN_20010112_wpr/68713","职务/Na/XIN_CMN_20010112_wpr/68713",2
"职务/Na/XIN_CMN_20030813_wpr/29699","职务/Na/XIN_CMN_20030813_wpr/29699",2
"职务/Na/XIN_CMN_20001115_wpr/35832","职务/Na/XIN_CMN_20001115_wpr/35832",2
"职务/Na/XIN_CMN_20030813_wpr/32850","职务/Na/XIN_CMN_20030813_wpr/32850",2
"职务/Na/XIN_CMN_20030403_wpr/15932","职务/Na/XIN_CMN_20030403_wpr/15932",2
"职务/Na/XIN_CMN_20030705_wpr/50878","职务/Na/XIN_CMN_20030705_wpr/50878",3
"职务/Na/CNA_CMN_20001110_wpr/92651","职务/Na/CNA_CMN_20001110_wpr/92651",3
"职务/Na/XIN_CMN_20010118_wpr/66026","职务/Na/XIN_CMN_20010118_wpr/66026",3
"职务/Na/XIN_CMN_20001031_wpr/41831","职务/Na/XIN_CMN_20001031_wpr/41831",3
"职务/Na/XIN_CMN_20001222_wpr/13912","职务/Na/XIN_CMN_20001222_wpr/13912",3
"职务/Na/XIN_CMN_20010107_wpr/12818","职务/Na/XIN_CMN_20010107_wpr/12818",3
"职务/Na/XIN_CMN_20001026_wpr/54560","职务/Na/XIN_CMN_20001026_wpr/54560",3
"职务/Na/XIN_CMN_20001011_wpr/11473","职务/Na/XIN_CMN_20001011_wpr/11473",3
"职务/Na/XIN_CMN_20001108_wpr/27490","职务/Na/XIN_CMN_20001108_wpr/27490",3
"职务/Na/XIN_CMN_20030808_wpr/20534","职务/Na/XIN_CMN_20030808_wpr/20534",3
"职务/Na/XIN_CMN_20030809_wpr/7232","职务/Na/XIN_CMN_20030809_wpr/7232",3
"职务/Na/XIN_CMN_20030509_wpr/16536","职务/Na/XIN_CMN_20030509_wpr/16536",3
"职务/Na/XIN_CMN_20030515_wpr/29123","职务/Na/XIN_CMN_20030515_wpr/29123",3
"权力/Na/CNA_CMN_20001222_wpr/35864","权力/Na/CNA_CMN_20001222_wpr/35864",3
"权力/Na/CNA_CMN_20001222_wpr/35879","权力/Na/CNA_CMN_20001222_wpr/35879",3
"权力/Na/XIN_CMN_20030405_wpr/52038","权力/Na/XIN_CMN_20030405_wpr/52038",3
"权力/Na/CNA_CMN_20010115_wpr/120168","权力/Na/CNA_CMN_20010115_wpr/120168",3
"权力/Na/XIN_CMN_20030918_wpr/74047","权力/Na/XIN_CMN_20030918_wpr/74047",3
