"","tokenlabel","cluster"
"货币/Na/XIN_CMN_20030714_wpr/69303","货币/Na/XIN_CMN_20030714_wpr/69303",1
"货币/Na/XIN_CMN_20010121_wpr/14719","货币/Na/XIN_CMN_20010121_wpr/14719",1
"货币/Na/ZBN_CMN_20030624_wpr/27355","货币/Na/ZBN_CMN_20030624_wpr/27355",1
"货币/Na/CNA_CMN_20001130_wpr/157040","货币/Na/CNA_CMN_20001130_wpr/157040",1
"货币/Na/XIN_CMN_20010119_wpr/43556","货币/Na/XIN_CMN_20010119_wpr/43556",1
"货币/Na/XIN_CMN_20030722_wpr/3290","货币/Na/XIN_CMN_20030722_wpr/3290",1
"货币/Na/ZBN_CMN_20030531_wpr/30746","货币/Na/ZBN_CMN_20030531_wpr/30746",1
"货币/Na/XIN_CMN_20030824_wpr/21189","货币/Na/XIN_CMN_20030824_wpr/21189",1
"货币/Na/XIN_CMN_20030824_wpr/21182","货币/Na/XIN_CMN_20030824_wpr/21182",1
"货币/Na/ZBN_CMN_20030707_wpr/34885","货币/Na/ZBN_CMN_20030707_wpr/34885",1
"货币/Na/XIN_CMN_20030810_wpr/52262","货币/Na/XIN_CMN_20030810_wpr/52262",1
"货币/Na/ZBN_CMN_20030705_wpr/39990","货币/Na/ZBN_CMN_20030705_wpr/39990",1
"货币/Na/ZBN_CMN_20030623_wpr/47790","货币/Na/ZBN_CMN_20030623_wpr/47790",1
"货币/Na/XIN_CMN_20030522_wpr/31730","货币/Na/XIN_CMN_20030522_wpr/31730",1
"货币/Na/ZBN_CMN_20030816_wpr/12433","货币/Na/ZBN_CMN_20030816_wpr/12433",1
"货币/Na/XIN_CMN_20030409_wpr/59606","货币/Na/XIN_CMN_20030409_wpr/59606",1
"货币/Na/CNA_CMN_20010114_wpr/11390","货币/Na/CNA_CMN_20010114_wpr/11390",1
"货币/Na/ZBN_CMN_20030429_wpr/24255","货币/Na/ZBN_CMN_20030429_wpr/24255",1
"货币/Na/XIN_CMN_20001212_wpr/79985","货币/Na/XIN_CMN_20001212_wpr/79985",1
"货币/Na/CNA_CMN_20001229_wpr/28125","货币/Na/CNA_CMN_20001229_wpr/28125",1
"货币/Na/XIN_CMN_20030829_wpr/57765","货币/Na/XIN_CMN_20030829_wpr/57765",1
"货币/Na/CNA_CMN_20010115_wpr/87406","货币/Na/CNA_CMN_20010115_wpr/87406",2
"货币/Na/ZBN_CMN_20001228_wpr/35052","货币/Na/ZBN_CMN_20001228_wpr/35052",2
"货币/Na/CNA_CMN_20010115_wpr/87269","货币/Na/CNA_CMN_20010115_wpr/87269",2
"货币/Na/CNA_CMN_20030604_wpr/3045","货币/Na/CNA_CMN_20030604_wpr/3045",2
"货币/Na/ZBN_CMN_20030714_wpr/32021","货币/Na/ZBN_CMN_20030714_wpr/32021",2
"货币/Na/XIN_CMN_20001206_wpr/7","货币/Na/XIN_CMN_20001206_wpr/7",2
"货币/Na/XIN_CMN_20030423_wpr/72453","货币/Na/XIN_CMN_20030423_wpr/72453",2
"货币/Na/XIN_CMN_20001213_wpr/68261","货币/Na/XIN_CMN_20001213_wpr/68261",2
"货币/Na/XIN_CMN_20001110_wpr/48851","货币/Na/XIN_CMN_20001110_wpr/48851",2
"货币/Na/ZBN_CMN_20030527_wpr/55158","货币/Na/ZBN_CMN_20030527_wpr/55158",2
"货币/Na/ZBN_CMN_20030915_wpr/34433","货币/Na/ZBN_CMN_20030915_wpr/34433",2
"货币/Na/CNA_CMN_20010112_wpr/51622","货币/Na/CNA_CMN_20010112_wpr/51622",2
"货币/Na/CNA_CMN_20001101_wpr/123381","货币/Na/CNA_CMN_20001101_wpr/123381",2
"货币/Na/CNA_CMN_20001227_wpr/43866","货币/Na/CNA_CMN_20001227_wpr/43866",2
"货币/Na/CNA_CMN_20010105_wpr/52731","货币/Na/CNA_CMN_20010105_wpr/52731",2
"货币/Na/XIN_CMN_20030606_wpr/52536","货币/Na/XIN_CMN_20030606_wpr/52536",2
"货币/Na/XIN_CMN_20030924_wpr/80595","货币/Na/XIN_CMN_20030924_wpr/80595",2
"货币/Na/XIN_CMN_20030807_wpr/64154","货币/Na/XIN_CMN_20030807_wpr/64154",2
"货币/Na/XIN_CMN_20030403_wpr/88164","货币/Na/XIN_CMN_20030403_wpr/88164",2
"货币/Na/XIN_CMN_20030428_wpr/71897","货币/Na/XIN_CMN_20030428_wpr/71897",2
"货币/Na/XIN_CMN_20001017_wpr/59905","货币/Na/XIN_CMN_20001017_wpr/59905",2
"货币/Na/XIN_CMN_20030812_wpr/72542","货币/Na/XIN_CMN_20030812_wpr/72542",2
"货币/Na/XIN_CMN_20030910_wpr/103004","货币/Na/XIN_CMN_20030910_wpr/103004",2
"货币/Na/XIN_CMN_20030421_wpr/77901","货币/Na/XIN_CMN_20030421_wpr/77901",2
"货币/Na/CNA_CMN_20001228_wpr/115590","货币/Na/CNA_CMN_20001228_wpr/115590",2
"货币/Na/CNA_CMN_20001005_wpr/145457","货币/Na/CNA_CMN_20001005_wpr/145457",2
"货币/Na/ZBN_CMN_20010126_wpr/40486","货币/Na/ZBN_CMN_20010126_wpr/40486",2
"货币/Na/XIN_CMN_20030415_wpr/85791","货币/Na/XIN_CMN_20030415_wpr/85791",2
"货币/Na/CNA_CMN_20010114_wpr/89800","货币/Na/CNA_CMN_20010114_wpr/89800",2
"货币/Na/CNA_CMN_20001114_wpr/132250","货币/Na/CNA_CMN_20001114_wpr/132250",2
"货币/Na/ZBN_CMN_20001130_wpr/11217","货币/Na/ZBN_CMN_20001130_wpr/11217",2
"货币/Na/ZBN_CMN_20001212_wpr/39884","货币/Na/ZBN_CMN_20001212_wpr/39884",2
"货币/Na/XIN_CMN_20030507_wpr/24465","货币/Na/XIN_CMN_20030507_wpr/24465",2
"货币/Na/XIN_CMN_20030928_wpr/31366","货币/Na/XIN_CMN_20030928_wpr/31366",2
"货币/Na/XIN_CMN_20030622_wpr/25811","货币/Na/XIN_CMN_20030622_wpr/25811",2
"货币/Na/XIN_CMN_20010111_wpr/18780","货币/Na/XIN_CMN_20010111_wpr/18780",3
"货币/Na/XIN_CMN_20030624_wpr/88784","货币/Na/XIN_CMN_20030624_wpr/88784",3
"货币/Na/ZBN_CMN_20030730_wpr/62647","货币/Na/ZBN_CMN_20030730_wpr/62647",3
"货币/Na/CNA_CMN_20010107_wpr/34653","货币/Na/CNA_CMN_20010107_wpr/34653",3
"货币/Na/ZBN_CMN_20030925_wpr/35956","货币/Na/ZBN_CMN_20030925_wpr/35956",3
"货币/Na/XIN_CMN_20030821_wpr/66882","货币/Na/XIN_CMN_20030821_wpr/66882",3
"货币/Na/XIN_CMN_20030918_wpr/1871","货币/Na/XIN_CMN_20030918_wpr/1871",3
"货币/Na/XIN_CMN_20030918_wpr/982","货币/Na/XIN_CMN_20030918_wpr/982",3
"货币/Na/XIN_CMN_20030911_wpr/14472","货币/Na/XIN_CMN_20030911_wpr/14472",3
"货币/Na/XIN_CMN_20030813_wpr/8838","货币/Na/XIN_CMN_20030813_wpr/8838",3
"货币/Na/XIN_CMN_20001226_wpr/58040","货币/Na/XIN_CMN_20001226_wpr/58040",3
"货币/Na/XIN_CMN_20030910_wpr/89551","货币/Na/XIN_CMN_20030910_wpr/89551",3
"货币/Na/ZBN_CMN_20030617_wpr/30899","货币/Na/ZBN_CMN_20030617_wpr/30899",3
"货币/Na/ZBN_CMN_20001216_wpr/20995","货币/Na/ZBN_CMN_20001216_wpr/20995",3
"货币/Na/CNA_CMN_20001130_wpr/6496","货币/Na/CNA_CMN_20001130_wpr/6496",3
"货币/Na/CNA_CMN_20010120_wpr/48672","货币/Na/CNA_CMN_20010120_wpr/48672",3
"货币/Na/CNA_CMN_20001217_wpr/31192","货币/Na/CNA_CMN_20001217_wpr/31192",3
"货币/Na/ZBN_CMN_20010117_wpr/12086","货币/Na/ZBN_CMN_20010117_wpr/12086",3
"资金/Na/CNA_CMN_20001113_wpr/46781","资金/Na/CNA_CMN_20001113_wpr/46781",4
"资金/Na/CNA_CMN_20001219_wpr/144884","资金/Na/CNA_CMN_20001219_wpr/144884",4
"资金/Na/XIN_CMN_20010113_wpr/39764","资金/Na/XIN_CMN_20010113_wpr/39764",4
"资金/Na/XIN_CMN_20030826_wpr/64920","资金/Na/XIN_CMN_20030826_wpr/64920",4
"资金/Na/CNA_CMN_20001129_wpr/22712","资金/Na/CNA_CMN_20001129_wpr/22712",4
