"","tokenlabel","cluster"
"领导/Na/ZBN_CMN_20001220_wpr/16703","领导/Na/ZBN_CMN_20001220_wpr/16703",1
"领导/Na/XIN_CMN_20030923_wpr/83797","领导/Na/XIN_CMN_20030923_wpr/83797",1
"领导/Na/XIN_CMN_20001117_wpr/66834","领导/Na/XIN_CMN_20001117_wpr/66834",1
"领导/Na/XIN_CMN_20010109_wpr/54624","领导/Na/XIN_CMN_20010109_wpr/54624",1
"领导/Na/XIN_CMN_20030627_wpr/16050","领导/Na/XIN_CMN_20030627_wpr/16050",1
"领导/Na/ZBN_CMN_20030622_wpr/53083","领导/Na/ZBN_CMN_20030622_wpr/53083",1
"领导/Na/XIN_CMN_20030429_wpr/59018","领导/Na/XIN_CMN_20030429_wpr/59018",1
"领导/Na/CNA_CMN_20001122_wpr/147732","领导/Na/CNA_CMN_20001122_wpr/147732",1
"领导/Na/XIN_CMN_20030802_wpr/42932","领导/Na/XIN_CMN_20030802_wpr/42932",1
"领导/Na/XIN_CMN_20001230_wpr/4728","领导/Na/XIN_CMN_20001230_wpr/4728",1
"领导/Na/XIN_CMN_20001212_wpr/33553","领导/Na/XIN_CMN_20001212_wpr/33553",1
"领导/Na/XIN_CMN_20001121_wpr/29664","领导/Na/XIN_CMN_20001121_wpr/29664",1
"领导/Na/XIN_CMN_20030425_wpr/49260","领导/Na/XIN_CMN_20030425_wpr/49260",1
"领导/Na/XIN_CMN_20030424_wpr/71955","领导/Na/XIN_CMN_20030424_wpr/71955",1
"领导/Na/ZBN_CMN_20030701_wpr/46207","领导/Na/ZBN_CMN_20030701_wpr/46207",2
"领导/Na/XIN_CMN_20030812_wpr/19576","领导/Na/XIN_CMN_20030812_wpr/19576",2
"领导/Na/XIN_CMN_20001117_wpr/50036","领导/Na/XIN_CMN_20001117_wpr/50036",2
"领导/Na/XIN_CMN_20001028_wpr/48094","领导/Na/XIN_CMN_20001028_wpr/48094",2
"领导/Na/XIN_CMN_20010122_wpr/16401","领导/Na/XIN_CMN_20010122_wpr/16401",2
"领导/Na/XIN_CMN_20030903_wpr/67266","领导/Na/XIN_CMN_20030903_wpr/67266",2
"领导/Na/XIN_CMN_20001122_wpr/40624","领导/Na/XIN_CMN_20001122_wpr/40624",2
"领导/Na/XIN_CMN_20030805_wpr/21839","领导/Na/XIN_CMN_20030805_wpr/21839",2
"领导/Na/XIN_CMN_20030424_wpr/61830","领导/Na/XIN_CMN_20030424_wpr/61830",2
"领导/Na/XIN_CMN_20001230_wpr/10335","领导/Na/XIN_CMN_20001230_wpr/10335",2
"领导/Na/XIN_CMN_20030714_wpr/47698","领导/Na/XIN_CMN_20030714_wpr/47698",2
"领导/Na/ZBN_CMN_20030710_wpr/43040","领导/Na/ZBN_CMN_20030710_wpr/43040",2
"领导/Na/XIN_CMN_20001019_wpr/21135","领导/Na/XIN_CMN_20001019_wpr/21135",2
"领导/Na/ZBN_CMN_20030704_wpr/72442","领导/Na/ZBN_CMN_20030704_wpr/72442",2
"领导/Na/XIN_CMN_20001201_wpr/61403","领导/Na/XIN_CMN_20001201_wpr/61403",2
"领导/Na/XIN_CMN_20001126_wpr/35166","领导/Na/XIN_CMN_20001126_wpr/35166",2
"领导/Na/XIN_CMN_20010103_wpr/14496","领导/Na/XIN_CMN_20010103_wpr/14496",2
"领导/Na/XIN_CMN_20030627_wpr/21849","领导/Na/XIN_CMN_20030627_wpr/21849",2
"领导/Na/ZBN_CMN_20030422_wpr/37099","领导/Na/ZBN_CMN_20030422_wpr/37099",2
"领导/Na/XIN_CMN_20030914_wpr/14675","领导/Na/XIN_CMN_20030914_wpr/14675",2
"领导/Na/XIN_CMN_20001027_wpr/29943","领导/Na/XIN_CMN_20001027_wpr/29943",2
"领导/Na/XIN_CMN_20001025_wpr/25101","领导/Na/XIN_CMN_20001025_wpr/25101",2
"领导/Na/XIN_CMN_20001116_wpr/38516","领导/Na/XIN_CMN_20001116_wpr/38516",2
"领导/Na/XIN_CMN_20001221_wpr/92126","领导/Na/XIN_CMN_20001221_wpr/92126",2
"领导/Na/XIN_CMN_20010108_wpr/49590","领导/Na/XIN_CMN_20010108_wpr/49590",2
"领导/Na/XIN_CMN_20010103_wpr/7685","领导/Na/XIN_CMN_20010103_wpr/7685",2
"领导/Na/XIN_CMN_20001224_wpr/11554","领导/Na/XIN_CMN_20001224_wpr/11554",2
"领导/Na/XIN_CMN_20001103_wpr/46767","领导/Na/XIN_CMN_20001103_wpr/46767",2
"领导/Na/XIN_CMN_20001103_wpr/46841","领导/Na/XIN_CMN_20001103_wpr/46841",2
"领导/Na/XIN_CMN_20030919_wpr/22916","领导/Na/XIN_CMN_20030919_wpr/22916",2
"领导/Na/XIN_CMN_20001128_wpr/758","领导/Na/XIN_CMN_20001128_wpr/758",2
"领导/Na/CNA_CMN_20001213_wpr/146254","领导/Na/CNA_CMN_20001213_wpr/146254",2
"领导/Na/XIN_CMN_20010108_wpr/28267","领导/Na/XIN_CMN_20010108_wpr/28267",2
"领导/Na/XIN_CMN_20030727_wpr/20482","领导/Na/XIN_CMN_20030727_wpr/20482",2
"领导/Na/XIN_CMN_20030421_wpr/2498","领导/Na/XIN_CMN_20030421_wpr/2498",2
"领导/Na/XIN_CMN_20030606_wpr/17231","领导/Na/XIN_CMN_20030606_wpr/17231",2
"领导/Na/XIN_CMN_20030622_wpr/29085","领导/Na/XIN_CMN_20030622_wpr/29085",2
"领导/Na/XIN_CMN_20030921_wpr/31589","领导/Na/XIN_CMN_20030921_wpr/31589",2
"领导/Na/XIN_CMN_20030919_wpr/63387","领导/Na/XIN_CMN_20030919_wpr/63387",2
"领导/Na/XIN_CMN_20030902_wpr/16545","领导/Na/XIN_CMN_20030902_wpr/16545",2
"领导/Na/XIN_CMN_20030421_wpr/24041","领导/Na/XIN_CMN_20030421_wpr/24041",2
"领导/Na/XIN_CMN_20030712_wpr/29356","领导/Na/XIN_CMN_20030712_wpr/29356",2
"领导/Na/XIN_CMN_20001213_wpr/19052","领导/Na/XIN_CMN_20001213_wpr/19052",2
"领导/Na/XIN_CMN_20001117_wpr/65362","领导/Na/XIN_CMN_20001117_wpr/65362",2
"领导/Na/XIN_CMN_20030821_wpr/74971","领导/Na/XIN_CMN_20030821_wpr/74971",2
"领导/Na/XIN_CMN_20001019_wpr/52426","领导/Na/XIN_CMN_20001019_wpr/52426",2
"领导/Na/XIN_CMN_20001117_wpr/1811","领导/Na/XIN_CMN_20001117_wpr/1811",2
"领导/Na/XIN_CMN_20001224_wpr/66255","领导/Na/XIN_CMN_20001224_wpr/66255",2
"领导/Na/XIN_CMN_20001229_wpr/74070","领导/Na/XIN_CMN_20001229_wpr/74070",2
"领导/Na/ZBN_CMN_20030621_wpr/31117","领导/Na/ZBN_CMN_20030621_wpr/31117",2
"领导/Na/XIN_CMN_20001011_wpr/82156","领导/Na/XIN_CMN_20001011_wpr/82156",2
"领导/Na/ZBN_CMN_20030708_wpr/45409","领导/Na/ZBN_CMN_20030708_wpr/45409",2
"领导/Na/ZBN_CMN_20030709_wpr/39365","领导/Na/ZBN_CMN_20030709_wpr/39365",2
"领导/Na/XIN_CMN_20010122_wpr/13237","领导/Na/XIN_CMN_20010122_wpr/13237",2
"领导/Na/ZBN_CMN_20030716_wpr/41953","领导/Na/ZBN_CMN_20030716_wpr/41953",2
"领导/Na/XIN_CMN_20030705_wpr/35512","领导/Na/XIN_CMN_20030705_wpr/35512",2
"领导/Na/XIN_CMN_20001117_wpr/29988","领导/Na/XIN_CMN_20001117_wpr/29988",2
"领导/Na/ZBN_CMN_20001112_wpr/24390","领导/Na/ZBN_CMN_20001112_wpr/24390",2
"领导/Na/XIN_CMN_20030619_wpr/23062","领导/Na/XIN_CMN_20030619_wpr/23062",2
"领导/Na/XIN_CMN_20001122_wpr/40354","领导/Na/XIN_CMN_20001122_wpr/40354",2
"领导/Na/XIN_CMN_20001030_wpr/30347","领导/Na/XIN_CMN_20001030_wpr/30347",2
"领导/Na/XIN_CMN_20030429_wpr/103473","领导/Na/XIN_CMN_20030429_wpr/103473",2
"领导/Na/XIN_CMN_20030515_wpr/48239","领导/Na/XIN_CMN_20030515_wpr/48239",2
"领导/Na/XIN_CMN_20030719_wpr/30199","领导/Na/XIN_CMN_20030719_wpr/30199",2
"领导/Na/XIN_CMN_20001206_wpr/34128","领导/Na/XIN_CMN_20001206_wpr/34128",2
"领导/Na/ZBN_CMN_20001111_wpr/36944","领导/Na/ZBN_CMN_20001111_wpr/36944",2
"领导/Na/XIN_CMN_20010118_wpr/22718","领导/Na/XIN_CMN_20010118_wpr/22718",2
"领导/Na/ZBN_CMN_20030421_wpr/77307","领导/Na/ZBN_CMN_20030421_wpr/77307",2
"领导/Na/XIN_CMN_20010106_wpr/6236","领导/Na/XIN_CMN_20010106_wpr/6236",2
"领导/Na/XIN_CMN_20030507_wpr/68337","领导/Na/XIN_CMN_20030507_wpr/68337",2
"领导/Na/XIN_CMN_20001227_wpr/29128","领导/Na/XIN_CMN_20001227_wpr/29128",2
"领导/Na/XIN_CMN_20001114_wpr/50855","领导/Na/XIN_CMN_20001114_wpr/50855",2
"领导/Na/ZBN_CMN_20030820_wpr/39318","领导/Na/ZBN_CMN_20030820_wpr/39318",2
"领导/Na/XIN_CMN_20030924_wpr/6249","领导/Na/XIN_CMN_20030924_wpr/6249",3
"领导/Na/CNA_CMN_20010123_wpr/52809","领导/Na/CNA_CMN_20010123_wpr/52809",3
"领导/Na/CNA_CMN_20001113_wpr/125468","领导/Na/CNA_CMN_20001113_wpr/125468",3
"领导/Na/XIN_CMN_20030430_wpr/32046","领导/Na/XIN_CMN_20030430_wpr/32046",3
