"id","x","y","variant","corpus","year","text","text_ppmi","lect"
"专业/Na/ZBN_CMN_20001215_wpr/23109",-0.0092270079302683,0.0164906067505109,"专业","ZBN","2000","警方/Na 的/DE 证人/Na 提供/VC/1.604<br>的/DE 证据/Na ，/COMMACATEGORY<br>配合/VC 他们/Nh 本身/Nh/1.082<br><b>专业/Na</b> 知识/Na/3.789<br>，/COMMACATEGORY 对/P 机长/Na/1.268<br>及/Caa/1.201 副机/Na 师生/Na/1.603<br>前/Ng 的/DE 状况/Na","警方/Na 的/DE 证人/Na 提供/VC/1.604<br>的/DE 证据/Na ，/COMMACATEGORY<br>配合/VC 他们/Nh 本身/Nh/1.082<br><b>专业/Na</b> 知识/Na/3.789<br>，/COMMACATEGORY 对/P 机长/Na/1.268<br>及/Caa/1.201 副机/Na 师生/Na/1.603<br>前/Ng 的/DE 状况/Na","SG"
"行业/Na/ZBN_CMN_20030525_wpr/65600",0.00953957316284022,-0.0847695344515921,"行业","ZBN","2003","暂时/D 不/D 打算/VF 在/P 这里/Ncd<br>进场/Nv 。/PERIODCATEGORY<br>“/PARENTHESISCATEGORY<br>这/Nep 个/Nf/1.141 <b>行业/Na</b><br>的/DE 竞争/Na/1.970 激烈/VH/1.671<br>。/PERIODCATEGORY 我们/Nh<br>的/DE 焦点/Na 将/D 放/VC 在/P","暂时/D 不/D 打算/VF 在/P 这里/Ncd<br>进场/Nv 。/PERIODCATEGORY<br>“/PARENTHESISCATEGORY<br>这/Nep 个/Nf/1.141 <b>行业/Na</b><br>的/DE 竞争/Na/1.970 激烈/VH/1.671<br>。/PERIODCATEGORY 我们/Nh<br>的/DE 焦点/Na 将/D 放/VC 在/P","SG"
"专业/Na/CNA_CMN_20001206_wpr/48443",-0.0858688989093451,-0.0652602193673189,"专业","CNA","2000","敏/VH 度/Nf 与/Caa 灵活度/Na<br>,/COMMACATEGORY 可/D 让/VL<br>投资/VC 大众/Nh 与/Caa <b>专业/Na</b><br>经理人/Na/3.714 随时/D 掌握/VC<br>投/VC 资/VL 现况/Na ,/COMMACATEGORY<br>控制/Nv/1.208 投资/Na/1.971<br>风险/Na","敏/VH 度/Nf 与/Caa 灵活度/Na<br>,/COMMACATEGORY 可/D 让/VL<br>投资/VC 大众/Nh 与/Caa <b>专业/Na</b><br>经理人/Na/3.714 随时/D 掌握/VC<br>投/VC 资/VL 现况/Na ,/COMMACATEGORY<br>控制/Nv/1.208 投资/Na/1.971<br>风险/Na","TW"
"行业/Na/XIN_CMN_20030613_wpr/26217",-0.0280510074015079,-0.0137487715517529,"行业","XIN","2003","如/P/1.469 汽车/Na/2.408<br>、/PAUSECATEGORY 制药/Nv/3.444<br>、/PAUSECATEGORY 健康/VH<br>食品/Na/1.743 、/PAUSECATEGORY<br>房地产/Na/2.262 等/Cab/1.814<br><b>行业/Na</b> 加强/VC 跟踪/VC/1.180<br>监管/VC/2.823 ,/COMMACATEGORY<br>并/Cbb 加强/VC 对/P 中介/Na/2.420<br>机构/Na 等/Cab/1.814","如/P/1.469 汽车/Na/2.408<br>、/PAUSECATEGORY 制药/Nv/3.444<br>、/PAUSECATEGORY 健康/VH<br>食品/Na/1.743 、/PAUSECATEGORY<br>房地产/Na/2.262 等/Cab/1.814<br><b>行业/Na</b> 加强/VC 跟踪/VC/1.180<br>监管/VC/2.823 ,/COMMACATEGORY<br>并/Cbb 加强/VC 对/P 中介/Na/2.420<br>机构/Na 等/Cab/1.814","ML"
"专业/Na/ZBN_CMN_20030916_wpr/1990",0.0301039564389132,0.0293863640464873,"专业","ZBN","2003","问候/Nv ，/COMMACATEGORY<br>而/Cbb 他们/Nh 大多/D 是/SHI<br>年/Nf 青/VH/1.420 有为/VH<br>的/DE <b>专业/Na</b> 人士/Na/3.442<br>，/COMMACATEGORY 多数/Neqa<br>受/VJ 英文/Na 教育/Na/2.039<br>。/PERIODCATEGORY 敬老尊贤/VH<br>美德/Na 值得/VH","问候/Nv ，/COMMACATEGORY<br>而/Cbb 他们/Nh 大多/D 是/SHI<br>年/Nf 青/VH/1.420 有为/VH<br>的/DE <b>专业/Na</b> 人士/Na/3.442<br>，/COMMACATEGORY 多数/Neqa<br>受/VJ 英文/Na 教育/Na/2.039<br>。/PERIODCATEGORY 敬老尊贤/VH<br>美德/Na 值得/VH","SG"
"专业/Na/CNA_CMN_20030525_wpr/3925",-0.00326056641294697,0.0487690093746905,"专业","CNA","2003","特别/VH 是/SHI 负责/VL/1.124<br>因/P 应/D SARS/FW 疫情/Na<br>的/DE 都/D 是/SHI <b>专业/Na</b><br>医学/Na/2.454 人员/Na/2.421<br>，/COMMACATEGORY 他们/Nh<br>也/D 要/D 面对/VC 长久以来/D<br>就/D 存/VC","特别/VH 是/SHI 负责/VL/1.124<br>因/P 应/D SARS/FW 疫情/Na<br>的/DE 都/D 是/SHI <b>专业/Na</b><br>医学/Na/2.454 人员/Na/2.421<br>，/COMMACATEGORY 他们/Nh<br>也/D 要/D 面对/VC 长久以来/D<br>就/D 存/VC","TW"
"专业/Na/XIN_CMN_20001204_wpr/649",0.106139986635421,0.0618217560304236,"专业","XIN","2000","使用/Na 大学生/Na/2.009 干部/Na<br>时/Ng ,/COMMACATEGORY<br>应/D 充分/VH 考虑/VE/1.078<br>个人/Nh 的/DE <b>专业/Na</b><br>和/Caa 特长/Na/4.516 ,/COMMACATEGORY<br>对/P 口/Na 安排/VE ,/COMMACATEGORY<br>发挥/Na 他们/Nh 的/DE","使用/Na 大学生/Na/2.009 干部/Na<br>时/Ng ,/COMMACATEGORY<br>应/D 充分/VH 考虑/VE/1.078<br>个人/Nh 的/DE <b>专业/Na</b><br>和/Caa 特长/Na/4.516 ,/COMMACATEGORY<br>对/P 口/Na 安排/VE ,/COMMACATEGORY<br>发挥/Na 他们/Nh 的/DE","ML"
"专业/Na/XIN_CMN_20030720_wpr/40197",0.0741666210601845,-0.26311399338639,"专业","XIN","2003","为期/VH 3/Neu 天/Nf 的/DE<br>较量/Nv 。/PERIODCATEGORY<br>在/P 率先/D 进行/VC 的/DE <b>专业/Na</b><br>250/Neu/1.345 CC/FW/3.591<br>组/Nf 比赛/Na 中/Ng ,/COMMACATEGORY<br>2002年/Nd 年度/Nd 个人/Nh<br>总冠军/Na","为期/VH 3/Neu 天/Nf 的/DE<br>较量/Nv 。/PERIODCATEGORY<br>在/P 率先/D 进行/VC 的/DE <b>专业/Na</b><br>250/Neu/1.345 CC/FW/3.591<br>组/Nf 比赛/Na 中/Ng ,/COMMACATEGORY<br>2002年/Nd 年度/Nd 个人/Nh<br>总冠军/Na","ML"
"专业/Na/ZBN_CMN_20030701_wpr/59602",-0.00695292790261591,0.0565273502826316,"专业","ZBN","2003","，/COMMACATEGORY 每/Nes<br>名/Nf 受训/VA 的/DE 社工/Na/3.384<br>都/D 将/D 具/VJ/1.664 备/VC<br><b>专业/Na</b> 知识/Na/3.789<br>。/PERIODCATEGORY 中途/Nc<br>转/VC 业者/Na 蔡美玲/Nb （/PARENTHESISCATEGORY<br>40/Neu 岁/Nf ）/PARENTHESISCATEGORY","，/COMMACATEGORY 每/Nes<br>名/Nf 受训/VA 的/DE 社工/Na/3.384<br>都/D 将/D 具/VJ/1.664 备/VC<br><b>专业/Na</b> 知识/Na/3.789<br>。/PERIODCATEGORY 中途/Nc<br>转/VC 业者/Na 蔡美玲/Nb （/PARENTHESISCATEGORY<br>40/Neu 岁/Nf ）/PARENTHESISCATEGORY","SG"
"专业/Na/XIN_CMN_20030705_wpr/29688",-0.0317623906619772,0.0345798250362081,"专业","XIN","2003","工作/Na ,/COMMACATEGORY<br>根据/P 收到/VC 的/DE 缔约国/Na<br>的/DE 提名/Nv/1.215 和/Caa<br>相关/VH/1.582 <b>专业/Na</b><br>咨询/VE/2.348 组织/Na 的/DE<br>评估/Nv/1.818 意见/Na/1.801<br>,/COMMACATEGORY 向/P 委员会/Nc<br>届/VJ 会/D","工作/Na ,/COMMACATEGORY<br>根据/P 收到/VC 的/DE 缔约国/Na<br>的/DE 提名/Nv/1.215 和/Caa<br>相关/VH/1.582 <b>专业/Na</b><br>咨询/VE/2.348 组织/Na 的/DE<br>评估/Nv/1.818 意见/Na/1.801<br>,/COMMACATEGORY 向/P 委员会/Nc<br>届/VJ 会/D","ML"
